source_state,target_state,description
CUIABA,MATO GROSSO,city used as state
CONTROL LAB,NOT REPORTED,error in data entry
VALUE,NOT REPORTED,error in data entry
HOSPITAL,DISTRITO FEDERAL,error in data entry
AC,ACRE,error in data entry
AL,ALAGOAS,error in data entry
AP,AMAPA,error in data entry
AM,AMAZONAS,error in data entry
BA,BAHIA,error in data entry
CE,CEARA,error in data entry
DF,DISTRITO FEDERAL,error in data entry
ES,ESPIRITO SANTO,error in data entry
GO,GOIAS,error in data entry
MA,MARANHAO,error in data entry
MT,MATO GROSSO,error in data entry
MS,MATO GROSSO DO SUL,error in data entry
MG,MINAS GERAIS,error in data entry
PA,PARA,error in data entry
PB,PARAIBA,error in data entry
PR,PARANA,error in data entry
PE,PERNAMBUCO,error in data entry
PI,PIAUI,error in data entry
RJ,RIO DE JANEIRO,error in data entry
RN,RIO GRANDE DO NORTE,error in data entry
RS,RIO GRANDE DO SUL,error in data entry
RO,RONDONIA,error in data entry
RR,RORAIMA,error in data entry
SC,SANTA CATARINA,error in data entry
SP,SAO PAULO,error in data entry
SE,SERGIPE,error in data entry
TO,TOCANTINS,error in data entry
