CD_MUN,CD_UF,SIGLA_UF,NM_UF,NM_UF_NORM,NM_MUN,NM_MUN_NORM,REGIAO,lat,long
1100015,11,RO,Rondônia,RONDONIA,Alta Floresta D'Oeste,ALTA FLORESTA DOESTE,NORTE,-12.47013227818517,-62.27466099603161
1100023,11,RO,Rondônia,RONDONIA,Ariquemes,ARIQUEMES,NORTE,-9.951890006604936,-62.957255222993844
1100031,11,RO,Rondônia,RONDONIA,Cabixi,CABIXI,NORTE,-13.474878553376353,-60.63980722013748
1100049,11,RO,Rondônia,RONDONIA,Cacoal,CACOAL,NORTE,-11.301287363290804,-61.3247287380724
1100056,11,RO,Rondônia,RONDONIA,Cerejeiras,CEREJEIRAS,NORTE,-13.203561612721657,-61.260949557620656
1100064,11,RO,Rondônia,RONDONIA,Colorado do Oeste,COLORADO DO OESTE,NORTE,-13.159153106782568,-60.55024441122719
1100072,11,RO,Rondônia,RONDONIA,Corumbiara,CORUMBIARA,NORTE,-12.926629419624062,-61.09164645723336
1100080,11,RO,Rondônia,RONDONIA,Costa Marques,COSTA MARQUES,NORTE,-12.14725010240025,-64.05877174324931
1100098,11,RO,Rondônia,RONDONIA,Espigão D'Oeste,ESPIGAO DOESTE,NORTE,-11.351342109107142,-60.78483064733634
1100106,11,RO,Rondônia,RONDONIA,Guajará-Mirim,GUAJARA MIRIM,NORTE,-11.305636314199617,-64.53755690253571
1100114,11,RO,Rondônia,RONDONIA,Jaru,JARU,NORTE,-10.592448063981317,-62.58486557944692
1100122,11,RO,Rondônia,RONDONIA,Ji-Paraná,JI PARANA,NORTE,-10.4622205323863,-61.757252672701725
1100130,11,RO,Rondônia,RONDONIA,Machadinho D'Oeste,MACHADINHO DOESTE,NORTE,-9.204091497678762,-62.01037965123399
1100148,11,RO,Rondônia,RONDONIA,Nova Brasilândia D'Oeste,NOVA BRASILANDIA DOESTE,NORTE,-11.643119014384837,-62.280237925345496
1100155,11,RO,Rondônia,RONDONIA,Ouro Preto do Oeste,OURO PRETO DO OESTE,NORTE,-10.610553002362328,-62.17253237869172
1100189,11,RO,Rondônia,RONDONIA,Pimenta Bueno,PIMENTA BUENO,NORTE,-11.89446661983039,-60.8303966675937
1100205,11,RO,Rondônia,RONDONIA,Porto Velho,PORTO VELHO,NORTE,-9.153592826551979,-64.30681433326818
1100254,11,RO,Rondônia,RONDONIA,Presidente Médici,PRESIDENTE MEDICI,NORTE,-11.166273968785362,-61.87795281636769
1100262,11,RO,Rondônia,RONDONIA,Rio Crespo,RIO CRESPO,NORTE,-9.645211562790422,-62.79007448468088
1100288,11,RO,Rondônia,RONDONIA,Rolim de Moura,ROLIM DE MOURA,NORTE,-11.732557735780821,-61.77155552903854
1100296,11,RO,Rondônia,RONDONIA,Santa Luzia D'Oeste,SANTA LUZIA DOESTE,NORTE,-12.02696778829553,-61.70109060215897
1100304,11,RO,Rondônia,RONDONIA,Vilhena,VILHENA,NORTE,-12.095621890538178,-60.248420480522306
1100320,11,RO,Rondônia,RONDONIA,São Miguel do Guaporé,SAO MIGUEL DO GUAPORE,NORTE,-11.614968866833117,-62.98324825026293
1100338,11,RO,Rondônia,RONDONIA,Nova Mamoré,NOVA MAMORE,NORTE,-10.382167457794376,-64.62909952353108
1100346,11,RO,Rondônia,RONDONIA,Alvorada D'Oeste,ALVORADA DOESTE,NORTE,-11.3114209655767,-62.544992237037846
1100379,11,RO,Rondônia,RONDONIA,Alto Alegre dos Parecis,ALTO ALEGRE DOS PARECIS,NORTE,-12.593736082130919,-61.88080742435937
1100403,11,RO,Rondônia,RONDONIA,Alto Paraíso,ALTO PARAISO,NORTE,-9.649310303810832,-63.39432225066334
1100452,11,RO,Rondônia,RONDONIA,Buritis,BURITIS,NORTE,-10.052115295145292,-63.94116273159337
1100502,11,RO,Rondônia,RONDONIA,Novo Horizonte do Oeste,NOVO HORIZONTE DO OESTE,NORTE,-11.681093911098282,-62.08320196617133
1100601,11,RO,Rondônia,RONDONIA,Cacaulândia,CACAULANDIA,NORTE,-10.331602810515609,-62.98726128630398
1100700,11,RO,Rondônia,RONDONIA,Campo Novo de Rondônia,CAMPO NOVO DE RONDONIA,NORTE,-10.484933975187493,-63.79971646599476
1100809,11,RO,Rondônia,RONDONIA,Candeias do Jamari,CANDEIAS DO JAMARI,NORTE,-8.886993889203508,-63.3256206264707
1100908,11,RO,Rondônia,RONDONIA,Castanheiras,CASTANHEIRAS,NORTE,-11.470802261579928,-61.88006979238368
1100924,11,RO,Rondônia,RONDONIA,Chupinguaia,CHUPINGUAIA,NORTE,-12.537328237135995,-60.89838404547186
1100940,11,RO,Rondônia,RONDONIA,Cujubim,CUJUBIM,NORTE,-9.171093633340757,-62.56533584234015
1101005,11,RO,Rondônia,RONDONIA,Governador Jorge Teixeira,GOVERNADOR JORGE TEIXEIRA,NORTE,-10.748029345029144,-63.184012138018964
1101104,11,RO,Rondônia,RONDONIA,Itapuã do Oeste,ITAPUA DO OESTE,NORTE,-9.170209678147105,-63.04494128568463
1101203,11,RO,Rondônia,RONDONIA,Ministro Andreazza,MINISTRO ANDREAZZA,NORTE,-11.160294268669437,-61.56896916905671
1101302,11,RO,Rondônia,RONDONIA,Mirante da Serra,MIRANTE DA SERRA,NORTE,-11.076837840006396,-62.847979331931924
1101401,11,RO,Rondônia,RONDONIA,Monte Negro,MONTE NEGRO,NORTE,-10.210832496075245,-63.372392608163935
1101435,11,RO,Rondônia,RONDONIA,Nova União,NOVA UNIAO,NORTE,-10.889344285058591,-62.5323571382093
1101450,11,RO,Rondônia,RONDONIA,Parecis,PARECIS,NORTE,-12.262326907872207,-61.41538368392302
1101468,11,RO,Rondônia,RONDONIA,Pimenteiras do Oeste,PIMENTEIRAS DO OESTE,NORTE,-13.17387596126366,-61.54530688426745
1101476,11,RO,Rondônia,RONDONIA,Primavera de Rondônia,PRIMAVERA DE RONDONIA,NORTE,-11.878685960501015,-61.3153353804454
1101484,11,RO,Rondônia,RONDONIA,São Felipe D'Oeste,SAO FELIPE DOESTE,NORTE,-11.90496797310065,-61.4670704163671
1101492,11,RO,Rondônia,RONDONIA,São Francisco do Guaporé,SAO FRANCISCO DO GUAPORE,NORTE,-12.368407632647452,-63.12214695381902
1101500,11,RO,Rondônia,RONDONIA,Seringueiras,SERINGUEIRAS,NORTE,-11.807217645501053,-63.23069906553022
1101559,11,RO,Rondônia,RONDONIA,Teixeirópolis,TEIXEIROPOLIS,NORTE,-10.94345327898465,-62.279771597398344
1101609,11,RO,Rondônia,RONDONIA,Theobroma,THEOBROMA,NORTE,-10.12176886674631,-62.34250454794528
1101708,11,RO,Rondônia,RONDONIA,Urupá,URUPA,NORTE,-11.103952818163055,-62.42441033780308
1101757,11,RO,Rondônia,RONDONIA,Vale do Anari,VALE DO ANARI,NORTE,-9.732434292084502,-61.939100669863365
1101807,11,RO,Rondônia,RONDONIA,Vale do Paraíso,VALE DO PARAISO,NORTE,-10.384256696760529,-62.094046525011336
1200013,12,AC,Acre,ACRE,Acrelândia,ACRELANDIA,NORTE,-9.933934857755926,-66.95016769820481
1200054,12,AC,Acre,ACRE,Assis Brasil,ASSIS BRASIL,NORTE,-10.779758860044756,-70.00568369859211
1200104,12,AC,Acre,ACRE,Brasiléia,BRASILEIA,NORTE,-10.747373775097047,-69.20747772500796
1200138,12,AC,Acre,ACRE,Bujari,BUJARI,NORTE,-9.614094874074947,-68.1737108690376
1200179,12,AC,Acre,ACRE,Capixaba,CAPIXABA,NORTE,-10.474233406905151,-67.83584235796926
1200203,12,AC,Acre,ACRE,Cruzeiro do Sul,CRUZEIRO DO SUL,NORTE,-7.971860231000199,-72.75480752763335
1200252,12,AC,Acre,ACRE,Epitaciolândia,EPITACIOLANDIA,NORTE,-10.889196261055469,-68.61822202793122
1200302,12,AC,Acre,ACRE,Feijó,FEIJO,NORTE,-8.924431928093483,-70.74477077624304
1200328,12,AC,Acre,ACRE,Jordão,JORDAO,NORTE,-9.242653117183274,-71.90611215398401
1200336,12,AC,Acre,ACRE,Mâncio Lima,MANCIO LIMA,NORTE,-7.504429807476787,-73.43909377702676
1200344,12,AC,Acre,ACRE,Manoel Urbano,MANOEL URBANO,NORTE,-9.381104113775699,-69.85377942694122
1200351,12,AC,Acre,ACRE,Marechal Thaumaturgo,MARECHAL THAUMATURGO,NORTE,-9.096286440292891,-72.55923165161981
1200385,12,AC,Acre,ACRE,Plácido de Castro,PLACIDO DE CASTRO,NORTE,-10.249094024690462,-67.34031893711814
1200393,12,AC,Acre,ACRE,Porto Walter,PORTO WALTER,NORTE,-8.491908530544848,-72.73355121052795
1200401,12,AC,Acre,ACRE,Rio Branco,RIO BRANCO,NORTE,-10.0661349491695,-68.37106195110408
1200427,12,AC,Acre,ACRE,Rodrigues Alves,RODRIGUES ALVES,NORTE,-7.843835282929955,-73.22344787040137
1200435,12,AC,Acre,ACRE,Santa Rosa do Purus,SANTA ROSA DO PURUS,NORTE,-9.410637702424435,-70.39578415911976
1200450,12,AC,Acre,ACRE,Senador Guiomard,SENADOR GUIOMARD,NORTE,-9.997220896303268,-67.4275936317254
1200500,12,AC,Acre,ACRE,Sena Madureira,SENA MADUREIRA,NORTE,-9.77142177018263,-69.38179517751136
1200609,12,AC,Acre,ACRE,Tarauacá,TARAUACA,NORTE,-8.239465958807747,-71.4449915268188
1200708,12,AC,Acre,ACRE,Xapuri,XAPURI,NORTE,-10.575599433718295,-68.50473327812144
