state	pathogen	test_result	state_code	country	2021-11-06	2021-11-13	2021-11-20	2021-11-27	2021-12-04	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04	2023-02-11	2023-02-18	2023-02-25	2023-03-04	2023-03-11	2023-03-18	2023-03-25	2023-04-01	2023-04-08	2023-04-15	2023-04-22	2023-04-29	2023-05-06	2023-05-13	2023-05-20	2023-05-27	2023-06-03	2023-06-10	2023-06-17	2023-06-24	2023-07-01	2023-07-08	2023-07-15	2023-07-22	2023-07-29	2023-08-05	2023-08-12	2023-08-19	2023-08-26
Acre	ADENO	Pos	AC	Brazil																																																																																															
Acre	BAC	Pos	AC	Brazil																																																																																															
Acre	COVS	Pos	AC	Brazil																																																																																															
Acre	FLUA	Pos	AC	Brazil																																																																																															
Acre	FLUB	Pos	AC	Brazil																																																																																															
Acre	META	Pos	AC	Brazil																																																																																															
Acre	PARA	Pos	AC	Brazil																																																																																															
Acre	RINO	Pos	AC	Brazil																																																																																															
Acre	SC2	Pos	AC	Brazil																																																																																															
Acre	VSR	Pos	AC	Brazil																																																																																															
Alagoas	ADENO	Pos	AL	Brazil																																																																																															
Alagoas	BAC	Pos	AL	Brazil																																																																																															
Alagoas	COVS	Pos	AL	Brazil																																																																																															
Alagoas	FLUA	Pos	AL	Brazil																																																																																															
Alagoas	FLUB	Pos	AL	Brazil																																																																																															
Alagoas	META	Pos	AL	Brazil																																																																																															
Alagoas	PARA	Pos	AL	Brazil																																																																																															
Alagoas	RINO	Pos	AL	Brazil																																																																																															
Alagoas	SC2	Pos	AL	Brazil																																																																																															
Alagoas	VSR	Pos	AL	Brazil																																																																																															
Amapá	ADENO	Pos	AP	Brazil																																																																																															
Amapá	BAC	Pos	AP	Brazil																																																																																															
Amapá	COVS	Pos	AP	Brazil																																																																																															
Amapá	FLUA	Pos	AP	Brazil																																																																																															
Amapá	FLUB	Pos	AP	Brazil																																																																																															
Amapá	META	Pos	AP	Brazil																																																																																															
Amapá	PARA	Pos	AP	Brazil																																																																																															
Amapá	RINO	Pos	AP	Brazil																																																																																															
Amapá	SC2	Pos	AP	Brazil																																																																																															
Amapá	VSR	Pos	AP	Brazil																																																																																															
Amazonas	ADENO	Pos	AM	Brazil																																																																																															
Amazonas	BAC	Pos	AM	Brazil																																																																																															
Amazonas	BOCA	Pos	AM	Brazil																																																																																															
Amazonas	COVS	Pos	AM	Brazil																																																																																															
Amazonas	ENTERO	Pos	AM	Brazil																																																																																															
Amazonas	FLUA	Pos	AM	Brazil												0.0048309179	0.0000000000	0.0000000000																																																																																	
Amazonas	FLUB	Pos	AM	Brazil												0.0000000000	0.0000000000	0.0000000000																																																																																	
