age_group	FLUB_test_result	country	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04	2023-02-11	2023-02-18	2023-02-25	2023-03-04	2023-03-11	2023-03-18	2023-03-25	2023-04-01	2023-04-08	2023-04-15	2023-04-22	2023-04-29	2023-05-06	2023-05-13	2023-05-20	2023-05-27	2023-06-03	2023-06-10	2023-06-17	2023-06-24	2023-07-01	2023-07-08	2023-07-15	2023-07-22	2023-07-29	2023-08-05	2023-08-12	2023-08-19	2023-08-26	2023-09-02
0-4	Pos	Brazil	0.0162601626	0.0017889088	0.0000000000	0.0012062726	0.0000000000	0.0000000000	0.0031847134	0.0000000000	0.0000000000	0.0000000000	0.0028089888	0.0000000000	0.0029069767	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0030487805	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0050251256	0.0000000000	0.0028653295	0.0028818444	0.0000000000	0.0043290043	0.0000000000	0.0000000000	0.0000000000	0.0036630037	0.0027322404	0.0000000000	0.0028901734	0.0008628128	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0014044944	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0053475936	0.0000000000	0.0068965517	0.0062111801	0.0166666667	0.0132743363	0.0110803324	0.0284463895	0.0336538462	0.0605263158	0.0374531835	0.0415335463	0.0394265233	0.0428061831	0.0186418109	0.0264705882	0.0289855072	0.0389610390	0.0296296296	0.0290964778	0.0147601476	0.0197869102	0.0071428571	0.0276134122	0.0046948357	0.0154639175	0.0071428571	0.0058139535	0.0097402597	0.0040000000	0.0052356021	0.0000000000	0.0000000000	0.0000000000	0.0076335878	
19-29	Pos	Brazil		0.0078791858	0.0229885057	0.0002436054	0.0000000000	0.0007097232	0.0000000000	0.0000000000	0.0022624434	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000				0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000										0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0073529412	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0119047619	0.0000000000	0.0000000000	0.0175438596	0.0156250000	0.0317460317				0.0300000000		0.1428571429	0.1568627451	0.0779220779	0.1097560976	0.1705426357	0.1958762887	0.1170212766	0.1885245902	0.1475409836	0.1470588235	0.1111111111	0.1315789474	0.0785714286	0.1282051282	0.0980392157	0.1022727273	0.0437500000	0.0342465753	0.0612244898	0.0390625000	0.0362318841	0.0614035088	0.0400000000	0.0217391304	0.0795454545	0.0322580645	0.0000000000			0.0172413793	
29-39	Pos	Brazil	0.0000000000	0.0077628793	0.0258519389	0.0005821851	0.0008602151	0.0000000000	0.0000000000	0.0000000000	0.0018248175	0.0000000000	0.0029498525	0.0036630037	0.0000000000	0.0044052863	0.0000000000		0.0163934426	0.0128205128	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0072463768	0.0000000000	0.0000000000	0.0000000000								0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0042016807	0.0000000000	0.0048076923	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0085470085	0.0080000000	0.0090090090	0.0000000000	0.0000000000	0.0196078431	0.0862068966	0.0150375940	0.0862068966	0.1168831169	0.1634615385	0.1826923077	0.1744966443	0.2075471698	0.2183098592	0.1266666667	0.1657458564	0.1635514019	0.1164021164	0.1500000000	0.0909090909	0.0637450199	0.0760869565	0.0700000000	0.0641891892	0.0428134557	0.0520833333	0.0284360190	0.0416666667	0.0226244344	0.0346534653	0.0261780105	0.0208333333	0.0204081633	0.0000000000	0.0319148936	0.0000000000	0.0128205128	0.0218978102	
39-49	Pos	Brazil	0.0153846154	0.0125412541	0.0317460317	0.0004654410	0.0000000000	0.0005834306	0.0009242144	0.0000000000	0.0000000000	0.0000000000	0.0076628352	0.0000000000	0.0138888889	0.0000000000	0.0000000000		0.0000000000	0.0000000000	0.0108695652	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0204081633	0.0000000000	0.0000000000	0.0000000000						0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0037037037	0.0042735043	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0054347826	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0149253731	0.0156250000	0.0156250000	0.0076923077		0.0963855422	0.0800000000	0.0762711864	0.1125827815	0.1513513514	0.1286549708	0.1118421053	0.1162790698	0.1486486486	0.1792452830	0.1555555556	0.0991379310	0.0888888889	0.0542168675	0.0527859238	0.0348525469	0.0322580645	0.0347003155	0.0176678445	0.0191570881	0.0076045627	0.0448430493	0.0346534653	0.0331125828	0.0373831776	0.0329670330	0.0090090090	0.0243902439	0.0352941176	0.0066666667	
4-9	Pos	Brazil	0.0106382979	0.0009149131	0.0124113475	0.0011904762	0.0023474178	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0093457944	0.0000000000	0.0036630037	0.0020366599	0.0044444444	0.0005521811	0.0011331445	0.0000000000	0.0008952551	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0080645161	0.0000000000	0.0447761194		0.0000000000	0.0441176471	0.0666666667	0.1034482759	0.1066666667	0.1316614420	0.1681034483	0.1842105263	0.1900311526	0.2083333333	0.1875000000	0.1597096189	0.1594533030	0.1744471744	0.1398601399	0.0986842105	0.1187904968	0.0810185185	0.0739957717	0.0644567219	0.0580046404	0.0467532468	0.0321428571	0.0287769784	0.0218978102	0.0122699387	0.0471698113	0.0396039604	0.0285714286	0.0405405405	0.0140845070	0.0476190476	0.0000000000	
49-59	Pos	Brazil		0.0147058824	0.0163551402	0.0004079967	0.0008968610	0.0010080645	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000		0.0000000000	0.0000000000			0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000										0.0204081633	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0153846154	0.0000000000			0.0196078431		0.0000000000				0.0447761194	0.0131578947	0.0352941176	0.0217391304	0.0421052632	0.0431034483	0.0517241379	0.0459770115	0.0380952381	0.0560000000	0.0297619048	0.0613496933	0.0503144654	0.0188679245	0.0097560976	0.0059880240	0.0201342282	0.0136054422	0.0000000000	0.0163934426	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000			0.0000000000	
59-69	Pos	Brazil		0.0050377834	0.0115384615	0.0015467904	0.0016420361	0.0018083183	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0126582278		0.0192307692						0.0000000000	0.0000000000	0.0000000000	0.0138888889	0.0111111111	0.0000000000	0.0000000000	0.0000000000											0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000						0.0000000000					0.0000000000	0.0312500000	0.0322580645		0.0400000000	0.0121951220	0.0128205128	0.0259740260	0.0329670330	0.0000000000	0.0085470085	0.0202702703	0.0236220472	0.0285714286	0.0089285714	0.0094339623	0.0098039216	0.0102040816	0.0000000000	0.0000000000	0.0109890110	0.0000000000	0.0153846154	0.0000000000			0.0000000000	
69-79	Pos	Brazil		0.0000000000	0.0253807107	0.0046367852	0.0000000000	0.0029585799	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0144927536											0.0000000000	0.0000000000	0.0000000000			0.0000000000												0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000		0.0000000000												0.0384615385	0.0000000000		0.0144927536	0.0000000000	0.0175438596	0.0294117647	0.0389610390	0.0000000000	0.0000000000	0.0104166667	0.0119047619	0.0000000000	0.0217391304	0.0000000000	0.0111111111	0.0000000000	0.0000000000	0.0000000000	0.0144927536	0.0000000000	0.0000000000	0.0000000000			0.0000000000	
80+	Pos	Brazil		0.0052083333	0.0000000000	0.0079575597	0.0103626943	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000											0.0000000000	0.0000000000	0.0000000000	0.0000000000		0.0000000000													0.0000000000	0.0000000000	0.0000000000	0.0000000000			0.0000000000		0.0000000000													0.0000000000	0.0169491525	0.0166666667			0.0322580645	0.0461538462	0.0843373494	0.0363636364	0.0224719101	0.0224719101	0.0000000000	0.0000000000	0.0204081633	0.0102040816	0.0000000000	0.0109890110	0.0133333333	0.0135135135	0.0000000000	0.0000000000	0.0000000000	0.0000000000				0.0000000000	
9-19	Pos	Brazil	0.0000000000	0.0053254438	0.0012771392	0.0006161429	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0043290043	0.0000000000	0.0000000000	0.0000000000	0.0097087379	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0209790210	0.0069686411	0.0012738854	0.0058430718	0.0004885198	0.0005970149	0.0000000000	0.0013157895	0.0014880952	0.0056074766	0.0024390244	0.0000000000	0.0000000000	0.0000000000	0.0074626866	0.0000000000	0.0000000000	0.0156250000				0.0500000000	0.1785714286	0.1847826087	0.1676646707	0.2038834951	0.2534246575	0.2478991597	0.2333333333	0.2507204611	0.2868852459	0.2825688073	0.2660098522	0.2091690544	0.1615598886	0.1489898990	0.1299303944	0.0977777778	0.0938086304	0.0984719864	0.0803382664	0.0537897311	0.0787172012	0.0721003135	0.0312500000	0.0428571429	0.0353982301	0.0531914894	0.0000000000	0.0700000000	0.0190476190	0.0260869565	0.0305343511	
