SC2_test_result	age_group	country	2002-01-05	2020-04-11	2020-05-30	2020-06-27	2020-07-04	2020-07-18	2020-07-25	2020-08-15	2020-09-05	2020-10-17	2020-10-31	2020-11-07	2020-11-28	2021-02-13	2021-03-06	2021-03-13	2021-03-20	2021-04-10	2021-05-29	2021-06-12	2021-06-19	2021-06-26	2021-07-03	2021-07-10	2021-07-17	2021-07-24	2021-07-31	2021-08-07	2021-08-14	2021-08-21	2021-08-28	2021-09-04	2021-09-11	2021-09-18	2021-09-25	2021-10-02	2021-10-09	2021-10-16	2021-10-23	2021-10-30	2021-11-06	2021-11-13	2021-11-20	2021-11-27	2021-12-04	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04	2023-02-11	2023-02-18	2023-02-25	2023-03-04	2023-03-11	2023-03-18	2023-03-25	2023-04-01	2023-04-08	2023-04-15	2023-04-22	2023-04-29	2023-05-06	2023-05-13	2023-05-20	2023-05-27	2023-06-03	2023-06-10	2023-06-17	2023-06-24	2023-07-01	2023-07-08	2023-07-15	2023-07-22	2023-07-29	2023-08-05	2023-08-12	2023-08-19	2023-08-26	2023-09-02
Pos	0-4	Brazil																																													0.0679611650	0.0000000000	0.0000000000	0.0240963855	0.1319648094	0.2867707477	0.3996821613	0.5061319191	0.5334793492	0.4772647162	0.3003636364	0.1870786517	0.0919988013	0.0472003702	0.0457079153	0.0216154721	0.0157825515	0.0115101289	0.0173818577	0.0312163617	0.0270935961	0.0409882089	0.0499457112	0.0784144765	0.0937907078	0.1439579685	0.1799831791	0.2097536701	0.2382149591	0.2403846154	0.2257551669	0.1641483516	0.1474541752	0.1086100169	0.0820189274	0.0678733032	0.0789085546	0.0281456954	0.0169779287	0.0202643172	0.0108055010	0.0470494418	0.0034995626	0.0046904315	0.0101626016	0.0591985428	0.0171673820	0.0448343080	0.0757575758	0.1354447439	0.1953379953	0.1039203485	0.1056682995	0.1029411765	0.1208622017	0.0870870871	0.0894886364	0.0877862595	0.0660592255	0.0762331839	0.0718562874	0.0607553366	0.0622009569	0.0362595420	0.0681362725	0.0648055833	0.0447641886	0.0596078431	0.0554775281	0.0410256410	0.0193986421	0.0171026157	0.0250783699	0.0252808989	0.0096061479	0.0302743614	0.0119331742	0.0508278783	0.0380029806	0.0199501247	0.0343183985	0.0250000000	0.0087108014	0.0148936170	0.0146341463	0.0233236152	0.0165975104	0.0142857143	0.0189573460	0.0271493213	0.0373134328	
Pos	19-29	Brazil																																													0.0338680927	0.0067385445	0.0152905199	0.0566645203	0.2239583333	0.4385369532	0.4295475797	0.4971312622	0.4904262404	0.4158491389	0.3269075004	0.2386223862	0.1424900057	0.0979703357	0.0700836820	0.0423259494	0.0356932153	0.0336709554	0.0413153457	0.0547368421	0.0649393244	0.0949227373	0.1234768481	0.1861662987	0.2158765160	0.2869490061	0.3326965066	0.3722365616	0.4159083778	0.3934169279	0.3368587214	0.2773211568	0.2351547961	0.1815699659	0.1422426154	0.1174678402	0.0878885316	0.0619627507	0.0518811881	0.0337606838	0.0232793522	0.0365477763	0.0195586760	0.0230582524	0.0312000000	0.0458633094	0.0944148936	0.1655969191	0.2225274725	0.3405063291	0.3471890971	0.3571842410	0.3723308271	0.3761620186	0.3543108874	0.2948717949	0.2221125370	0.1646162859	0.1360273193	0.1052631579	0.0990259740	0.1151832461	0.1564245810	0.1703437660	0.2173913043	0.2210454390	0.1951903808	0.1965226554	0.1793427230	0.1713603819	0.1289237668	0.1250000000	0.1006637168	0.1205059920	0.1078928313	0.1273385637	0.0952986023	0.0957575758	0.1109550562	0.0627240143	0.0816000000	0.0836653386	0.0793319415	0.0724299065	0.0862944162	0.0541516245	0.0840707965	0.0947867299	0.1024734982	0.1464435146	0.1367292225	
Pos	29-39	Brazil																																													0.0276162791	0.0117410265	0.0133222315	0.0588528678	0.2282761860	0.3924882629	0.4285643071	0.5247760102	0.5125128733	0.4436198857	0.3476737395	0.2730414747	0.1646444220	0.1038525963	0.0730299667	0.0464250248	0.0342868339	0.0337537751	0.0428225656	0.0572651314	0.0731550802	0.1051928536	0.1429568860	0.1874806322	0.2431967918	0.3113144387	0.3594285237	0.4058308240	0.4582648225	0.4204964126	0.3835192069	0.3338569484	0.2779909313	0.2229437229	0.1725955204	0.1401002506	0.1128191767	0.0919158361	0.0615997548	0.0414220483	0.0322820037	0.0327496757	0.0308370044	0.0226565971	0.0357815443	0.0667574932	0.0956612650	0.1755454084	0.2331081081	0.3614514609	0.3870192308	0.3722952477	0.4127190136	0.4158594278	0.3954597049	0.3710126974	0.2877247850	0.1966236346	0.1612903226	0.1313993174	0.1434782609	0.1487119438	0.1868435600	0.2204526404	0.2364025696	0.2390405294	0.2376925400	0.2108743571	0.2013843111	0.1575797872	0.1516366065	0.1253594020	0.1220527046	0.1075042159	0.1069640419	0.1269399125	0.1057250313	0.1061692970	0.1150081566	0.1149032992	0.1029866117	0.0933165195	0.0920554855	0.0873786408	0.0723270440	0.0918803419	0.0833333333	0.0935960591	0.1398416887	0.1670761671	0.1477516060	
Pos	39-49	Brazil																																													0.0193133047	0.0073971336	0.0121012101	0.0403556772	0.1957894737	0.3666613597	0.4376766453	0.5439279132	0.5389467756	0.4666428060	0.3753470294	0.2777129522	0.1733052470	0.1160158461	0.0778097983	0.0456515458	0.0392830837	0.0356986421	0.0449541284	0.0645703313	0.0828041656	0.1155963303	0.1625902165	0.2243404255	0.2872817184	0.3610880152	0.4007150955	0.4225888325	0.4860594796	0.4555433589	0.3998346326	0.3583740674	0.2927510660	0.2437918376	0.1912081985	0.1425479283	0.1329133858	0.0950877193	0.0597288384	0.0449713818	0.0401891253	0.0426854538	0.0266245487	0.0372168285	0.0340826686	0.0835322196	0.0897030954	0.1838323353	0.2806804374	0.3686920700	0.4125814678	0.3961236934	0.4435695538	0.4451082898	0.4290834613	0.4080749820	0.3144963145	0.2444176222	0.1662844037	0.1452397498	0.1288580247	0.1609792285	0.2083862770	0.2256335283	0.2958549223	0.2707509881	0.2682682683	0.2487541528	0.2166193182	0.1864406780	0.1649048626	0.1386018237	0.1460992908	0.1289893617	0.1229128015	0.1281731169	0.1271777003	0.1259150805	0.1241554054	0.1088888889	0.0996884735	0.0713450292	0.1000000000	0.0785123967	0.0813148789	0.0864197531	0.1016949153	0.1478696742	0.1335012594	0.1814058957	0.2109890110	
Pos	4-9	Brazil																																													0.0189873418	0.0127659574	0.0000000000	0.0378378378	0.1601642710	0.3038283346	0.4037383178	0.5367545076	0.5403516204	0.5039062500	0.4096700425	0.2750952986	0.1314038589	0.0649651972	0.0541237113	0.0275229358	0.0308139535	0.0279365079	0.0357852883	0.0300000000	0.0798580302	0.0668202765	0.0957072484	0.1378772112	0.1744340879	0.2291666667	0.2653766413	0.2947004608	0.3330200501	0.3199481865	0.2665964173	0.1885813149	0.1520710059	0.1047381546	0.1277777778	0.0801282051	0.0653950954	0.0405278040	0.0321910696	0.0128440367	0.0081595648	0.0153583618	0.0067771084	0.0048828125	0.0076838639	0.0046224961	0.0109739369	0.0294550810	0.0498915401	0.0983606557	0.1217457887	0.1071672355	0.1235023041	0.1401273885	0.1146572104	0.1000000000	0.0921658986	0.0752351097	0.0536912752	0.0863309353	0.0524475524	0.0568475452	0.0663430421	0.0511111111	0.0385232745	0.0540540541	0.0585683297	0.0560538117	0.0542986425	0.0398582817	0.0177514793	0.0097244733	0.0247349823	0.0156695157	0.0141643059	0.0126182965	0.0087847731	0.0132075472	0.0022321429	0.0083798883	0.0062305296	0.0095541401	0.0059347181	0.0000000000	0.0131578947	0.0158730159	0.0000000000	0.0188679245	0.0512820513	0.0460526316	0.0526315789	
Pos	49-59	Brazil																																													0.0527240773	0.0084097859	0.0054945055	0.0351648352	0.1884792627	0.3257366687	0.4098178138	0.5177496180	0.4959077014	0.4299486666	0.3445409898	0.2716658018	0.1695594126	0.1111111111	0.0843790567	0.0558659218	0.0413322632	0.0515239478	0.0546611756	0.0905688623	0.0896464646	0.1277548209	0.1826498423	0.2344322344	0.3028782678	0.3942189422	0.4368584759	0.4607651129	0.5217236467	0.5069758673	0.4402641585	0.3862585334	0.3399805447	0.2800269906	0.2262931034	0.1750513347	0.1500843170	0.1189591078	0.0821052632	0.0635881908	0.0563124432	0.0506230530	0.0375106564	0.0466883822	0.0486725664	0.0915697674	0.1167800454	0.2524064171	0.3452914798	0.4582608696	0.4520295203	0.4477611940	0.4809430255	0.5080919932	0.4835485214	0.4447797224	0.3972602740	0.2877697842	0.1955719557	0.1776765376	0.1868390129	0.2164599775	0.2082912032	0.2896265560	0.3524069028	0.3216409037	0.3252513306	0.3080291971	0.2913533835	0.2433828276	0.2073324905	0.1830822711	0.1973203410	0.1659090909	0.1537190083	0.1416474211	0.1484071484	0.1725768322	0.1417425228	0.1681415929	0.1200686106	0.1403118040	0.1190476190	0.0997506234	0.1134564644	0.1164383562	0.1416666667	0.1678832117	0.1570247934	0.2129629630	0.2000000000	
Pos	59-69	Brazil																																													0.0236220472	0.0114702815	0.0102827763	0.0147710487	0.1598231207	0.2813158321	0.3695927602	0.4900756144	0.4923355860	0.4327808471	0.3510941960	0.2768506632	0.1609442060	0.1140740741	0.0803212851	0.0547945205	0.0373719108	0.0407838983	0.0415224913	0.0727923628	0.0806257521	0.1042701092	0.1517982251	0.2083720930	0.2667814114	0.3361403509	0.4009310445	0.4422212230	0.5095707657	0.5001504664	0.4569732938	0.4191856878	0.3488762160	0.3084461036	0.2394202899	0.2087272727	0.1937394247	0.1283055828	0.1135416667	0.0950782998	0.0697969543	0.0668896321	0.0500595948	0.0658499234	0.0555555556	0.1016635860	0.1612903226	0.2304216867	0.3597560976	0.4519119351	0.4716612378	0.4465000000	0.5040983607	0.4898227183	0.5083056478	0.4964257347	0.3822975518	0.3062261753	0.2542153048	0.1723076923	0.1570397112	0.2027729636	0.2231270358	0.2735602094	0.3289124668	0.3369565217	0.3692038495	0.3230088496	0.2878048780	0.2463199215	0.2099236641	0.1589403974	0.1656920078	0.1522012579	0.1741935484	0.1684100418	0.1702637890	0.1802120141	0.1776937618	0.1527446301	0.1520737327	0.1402985075	0.0979827089	0.1086956522	0.0869565217	0.1174089069	0.1277533040	0.1306306306	0.1609756098	0.1722689076	0.1778656126	
Pos	69-79	Brazil																																													0.0516431925	0.0110294118	0.0047619048	0.0189701897	0.1589242054	0.2568306011	0.3725847612	0.5068656716	0.5085354897	0.4415879017	0.3889955214	0.3015873016	0.2067209776	0.1564986737	0.0762331839	0.0764044944	0.0598669623	0.0485651214	0.0489130435	0.0729613734	0.0764635603	0.1107954545	0.1272217025	0.1978513876	0.2530647986	0.3230437904	0.3881177124	0.4223002634	0.5129334067	0.4897050640	0.4637096774	0.4297210300	0.3555304740	0.3181499650	0.2516556291	0.2151351351	0.1650366748	0.1464088398	0.1003086420	0.0834724541	0.0666666667	0.0620031797	0.0587219344	0.0767386091	0.0560000000	0.0884718499	0.1046228710	0.2027027027	0.2640000000	0.4283154122	0.4782178218	0.4575856444	0.4856373429	0.5194931774	0.5010060362	0.4724005135	0.3994334278	0.3280977312	0.2043399638	0.1860465116	0.1783132530	0.1720183486	0.1801566580	0.2282608696	0.3120155039	0.2995594714	0.3213256484	0.3159663866	0.2343499197	0.1805766313	0.1758530184	0.1548672566	0.1418269231	0.1428571429	0.1516314779	0.1537190083	0.1590038314	0.1904761905	0.1593406593	0.1739130435	0.0969696970	0.0902527076	0.0839694656	0.0852713178	0.0946502058	0.0964467005	0.1234567901	0.1130952381	0.1446540881	0.1666666667	0.1919642857	
Pos	80+	Brazil																																													0.0373831776	0.0092165899	0.0000000000	0.0000000000	0.1492537313	0.2621160410	0.3862815884	0.5391032325	0.5430238211	0.4945337621	0.4346473029	0.3440594059	0.2201039861	0.1410579345	0.0820734341	0.0877192982	0.0608899297	0.0518358531	0.0646766169	0.0652680653	0.1078651685	0.0955165692	0.1443298969	0.1859205776	0.2227891156	0.3290488432	0.3767258383	0.4541595925	0.5333943275	0.5136804943	0.4959283388	0.4546159814	0.4065573770	0.3425110132	0.2848837209	0.2229508197	0.2019047619	0.1231884058	0.1116625310	0.0862470862	0.0725000000	0.0576923077	0.0409836066	0.0633333333	0.0599250936	0.0861423221	0.0957854406	0.1872791519	0.2433862434	0.4129870130	0.4616588419	0.4736180905	0.4133148405	0.4826498423	0.4553571429	0.4850498339	0.3986135182	0.2706131078	0.2196969697	0.1836734694	0.1621621622	0.1535947712	0.2033898305	0.2167101828	0.2887828162	0.2716535433	0.2951127820	0.2688888889	0.2819905213	0.2320185615	0.2300000000	0.1349693252	0.1781818182	0.1393442623	0.1035422343	0.1558752998	0.1601123596	0.1167192429	0.1337579618	0.1132075472	0.1300000000	0.0884955752	0.0815450644	0.0678733032	0.0751173709	0.0873786408	0.1019108280	0.0540540541	0.1034482759	0.2049689441	0.1551724138	
Pos	9-19	Brazil																																													0.0313253012	0.0046656299	0.0033670034	0.0261324042	0.1598465473	0.3269389780	0.3940553929	0.4841180446	0.4936260623	0.4709960385	0.4045029575	0.3229785290	0.1834931853	0.1434617012	0.0808876163	0.0627400768	0.0565712315	0.0698824985	0.1002802865	0.1319191250	0.1233619521	0.1377082625	0.2108196721	0.2786774629	0.3298686017	0.3689715282	0.3864541833	0.3898367049	0.4164020176	0.3575203252	0.2926680244	0.2321378927	0.1817574340	0.1382380506	0.1099020675	0.0949811117	0.0628742515	0.0453234446	0.0332469775	0.0197368421	0.0153649168	0.0147866498	0.0088602497	0.0133333333	0.0107663078	0.0258342304	0.0466853408	0.0882096070	0.1512261580	0.2181268882	0.2300098717	0.2433288105	0.2480620155	0.2513011152	0.2506286672	0.2000000000	0.1583815029	0.1186943620	0.0687898089	0.0636215334	0.0686619718	0.0964230171	0.1358148893	0.1016949153	0.1162185603	0.1230674088	0.1282932417	0.1098191214	0.1138560687	0.0913593836	0.0557077626	0.0570570571	0.0474226804	0.0460829493	0.0516014235	0.0486274510	0.0472560976	0.0421940928	0.0458970793	0.0310077519	0.0467836257	0.0469483568	0.0397196262	0.0242214533	0.0384615385	0.0479041916	0.0486111111	0.0515463918	0.0663265306	0.1521739130	0.1212121212	
