age_group	VSR_test_result	country	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04	2023-02-11	2023-02-18	2023-02-25	2023-03-04	2023-03-11	2023-03-18	2023-03-25	2023-04-01	2023-04-08	2023-04-15	2023-04-22	2023-04-29	2023-05-06	2023-05-13	2023-05-20	2023-05-27	2023-06-03	2023-06-10	2023-06-17	2023-06-24	2023-07-01	2023-07-08	2023-07-15	2023-07-22	2023-07-29	2023-08-05	2023-08-12	2023-08-19	2023-08-26	2023-09-02
0-4	Pos	Brazil		0.3267326733	0.2129032258	0.0664556962	0.0906666667	0.0981912145	0.1534090909	0.1162280702	0.1136363636	0.1956043956	0.1873727088	0.1639344262	0.1972920696	0.2083333333	0.1603375527	0.2051282051	0.2225969646	0.1736111111	0.1894197952	0.1726618705	0.1451851852	0.1514285714	0.1292134831	0.1167108753	0.1196581197	0.0690846287	0.0984455959	0.0905923345	0.0580912863	0.0572139303	0.0552486188	0.0501672241	0.0443213296	0.0663716814	0.0255813953	0.0541760722	0.0586907449	0.0418410042	0.0650557621	0.0913461538	0.1134969325	0.1657657658	0.1971580817	0.3056000000	0.2885771543	0.2617647059	0.2931034483	0.2054140127	0.2800788955	0.2553648069	0.2901878914	0.2622950820	0.2624113475	0.2995951417	0.2636363636	0.2042553191	0.2031250000	0.2678571429	0.1604010025	0.1800766284	0.2446043165	0.2053571429	0.2087475149	0.2527272727	0.2853107345	0.2648514851	0.2674094708	0.2916053019	0.2790014684	0.2517882690	0.2125181951	0.2039942939	0.1823308271	0.1407035176	0.1160714286	0.1041214751	0.1367924528	0.1259445844	0.0987124464	0.1104972376	0.1424148607	0.1301115242	0.1269841270	0.1244444444	0.0469798658	0.0666666667	0.0404040404	
19-29	Pos	Brazil		0.0365853659	0.0303030303	0.0022767518	0.0022185247	0.0021786492	0.0059113300	0.0053097345	0.0069767442	0.0000000000	0.0292887029	0.0229357798	0.0363636364	0.0290697674	0.0666666667						0.0161290323	0.0172413793	0.0326086957	0.0000000000	0.0133333333	0.0147058824	0.0113636364														0.0000000000			0.0000000000		0.0114942529		0.0322580645	0.0000000000		0.0363636364					0.0421052632						0.0363636364				0.0454545455	0.0677966102	0.0555555556	0.0377358491	0.0147058824	0.0000000000	0.0449438202	0.0340909091	0.0229885057	0.0273972603	0.0377358491	0.0289855072	0.0000000000			0.0588235294	0.0724637681						
29-39	Pos	Brazil		0.0674157303	0.0223880597	0.0046483428	0.0017582418	0.0005045409	0.0038520801	0.0085261876	0.0127504554	0.0237154150	0.0110497238	0.0373134328	0.0990990991	0.0300429185	0.0520833333	0.0384615385	0.0350877193	0.1190476190	0.0561797753	0.0606060606	0.0388349515	0.0253164557	0.0272108844	0.0060606061	0.0000000000	0.0119760479	0.0206185567	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000					0.0000000000	0.0000000000	0.0000000000	0.0086206897	0.0076923077	0.0186915888	0.0000000000	0.0409836066	0.0789473684	0.0471204188	0.0459770115	0.0283687943	0.0288461538	0.0247933884	0.0480769231	0.0188679245	0.0416666667			0.0000000000		0.0149253731	0.0483870968	0.0833333333	0.0461538462	0.0000000000	0.0180180180	0.0121951220	0.0294117647	0.0192307692	0.0650406504	0.0434782609	0.0074626866	0.0310559006	0.0414201183	0.0283018868	0.0365853659	0.0049504950	0.0168539326	0.0093457944	0.0152671756	0.0270270270	0.0082644628	0.0446428571	0.0000000000	0.0000000000	0.0000000000				0.0545454545	
39-49	Pos	Brazil		0.0245901639	0.0312500000	0.0031545741	0.0026343519	0.0005917160	0.0027881041	0.0031746032	0.0140845070	0.0104712042	0.0107526882	0.0374331551	0.1125000000	0.0217391304	0.0869565217		0.0454545455	0.0370370370	0.0720720721	0.0984848485	0.0700636943	0.0334928230	0.0137614679	0.0096153846	0.0054945055	0.0139860140	0.0069444444	0.0090090090	0.0000000000	0.0000000000	0.0147058824			0.0000000000	0.0000000000	0.0000000000	0.0142857143	0.0210526316	0.0000000000	0.0000000000	0.0067567568	0.0315789474	0.0099009901	0.0373831776	0.0000000000	0.0454545455	0.0795454545	0.0166666667	0.0227272727	0.1132075472	0.0686274510	0.0804597701	0.0461538462	0.0370370370	0.0185185185	0.0088495575	0.0196078431	0.0384615385	0.0140845070	0.0277777778	0.0259740260	0.0098039216	0.0113636364	0.0000000000	0.0080645161	0.0243902439	0.0396825397	0.0447761194	0.0277777778	0.0292682927	0.0049751244	0.0049504950	0.0274725275	0.0284552846	0.0102040816	0.0500000000	0.0275862069	0.0070921986	0.0000000000	0.0000000000	0.0315789474	0.0266666667	0.0327868852	0.0151515152		0.0000000000	0.0363636364	
4-9	Pos	Brazil		0.0588235294	0.0895522388	0.0129310345	0.0132978723	0.0243243243	0.0251798561	0.0423452769	0.0434782609	0.0306122449	0.0373831776	0.0253807107	0.0611353712	0.0468750000	0.0708661417	0.0643776824	0.0631578947	0.1084905660	0.0941704036	0.0781250000	0.0515463918	0.0833333333	0.0457516340	0.0231023102	0.0389610390	0.0440528634	0.0392156863	0.0211864407	0.0059880240	0.0129032258	0.0077519380	0.0000000000	0.0046948357	0.0049504950	0.0162162162	0.0034482759	0.0163398693	0.0201729107	0.0211640212	0.0041407867	0.0198198198	0.0324675325	0.0351906158	0.0822784810	0.1212121212	0.1511627907	0.1607843137	0.0906040268	0.0848214286	0.1173184358	0.1436464088	0.1400000000	0.0555555556	0.0937500000	0.0000000000	0.0263157895	0.0158730159	0.0097087379	0.0335195531	0.0492957746	0.0346820809	0.0368098160	0.0197044335	0.0355555556	0.0375426621	0.0294985251	0.0407407407	0.0579710145	0.0640000000	0.0304054054	0.0397111913	0.0468750000	0.0491228070	0.0204778157	0.0127659574	0.0338983051	0.0591715976	0.0171428571	0.0355329949	0.0447761194	0.0222222222	0.0493827160	0.0158730159	0.0416666667	0.0166666667	0.0533333333	0.0175438596	
49-59	Pos	Brazil		0.0410958904	0.0144927536	0.0025316456	0.0027297543	0.0030800821	0.0015267176	0.0052083333	0.0000000000	0.0254237288	0.0279720280	0.0277777778	0.0277777778	0.0459770115	0.0769230769			0.0535714286	0.0235294118	0.0285714286	0.0898876404	0.0510204082	0.0461538462	0.0268456376	0.0329670330	0.0408163265	0.0144927536	0.0277777778	0.0000000000						0.0000000000					0.0000000000	0.0392156863	0.0000000000	0.0000000000	0.0136986301		0.0155038760	0.0172413793	0.0183486239	0.0000000000	0.0833333333	0.0350877193					0.0136986301						0.0952380952		0.0933333333	0.0327868852	0.0266666667	0.0434782609	0.0243902439	0.0813953488	0.0491803279	0.0392156863	0.0267857143	0.0388349515	0.0173410405	0.0296296296	0.0192307692	0.0117647059	0.0263157895	0.0114942529	0.0389610390	0.0000000000	0.0000000000		0.0000000000				
59-69	Pos	Brazil		0.0517241379	0.0804597701	0.0047355959	0.0016474465	0.0055248619	0.0047846890	0.0208333333	0.0114285714	0.0357142857	0.0476190476	0.0119047619	0.0701754386	0.0317460317						0.0476190476	0.0804597701	0.0769230769	0.0380952381	0.0327868852	0.0000000000	0.0459770115	0.0000000000	0.0317460317	0.0000000000	0.0000000000	0.0000000000								0.0000000000		0.0468750000	0.0192307692		0.0416666667		0.0322580645	0.0535714286	0.0438596491	0.0240963855	0.0757575758	0.0196078431				0.0000000000	0.0606060606				0.0377358491		0.0166666667	0.0000000000	0.0181818182	0.0500000000	0.0131578947	0.0294117647	0.1282051282	0.1625000000	0.1075268817	0.0416666667	0.0303030303	0.0458715596	0.0387096774	0.0400000000	0.0114942529	0.0476190476	0.0266666667	0.0188679245	0.0178571429	0.0000000000	0.0243902439	0.0317460317	0.0000000000			0.0175438596	
69-79	Pos	Brazil			0.0135135135	0.0081699346	0.0130293160	0.0059171598	0.0130434783	0.0144927536	0.0000000000	0.0147058824	0.0543478261	0.0188679245							0.0967741935	0.0862068966	0.1153846154	0.0169491525	0.1120689655	0.0322580645	0.0508474576	0.0256410256	0.0333333333		0.0000000000						0.0000000000			0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0149253731	0.0000000000	0.0000000000	0.0392156863	0.0350877193	0.0588235294	0.0198019802	0.0000000000	0.0757575758	0.0294117647		0.0000000000			0.0312500000		0.0192307692		0.0303030303		0.0303030303	0.0322580645		0.0449438202	0.0400000000	0.0131578947	0.0506329114	0.0681818182	0.0648148148	0.0733944954	0.0406504065	0.0243902439	0.0225563910	0.0576923077	0.0329670330	0.0185185185	0.0315789474	0.0096153846	0.0105263158	0.0116279070	0.0000000000	0.0000000000	0.0161290323		0.0303030303		
80+	Pos	Brazil			0.0845070423	0.0086956522	0.0050000000	0.0000000000	0.0000000000	0.0300000000	0.0119047619	0.0156250000	0.0555555556			0.0357142857				0.0468750000	0.1290322581	0.1000000000	0.0777777778	0.0917431193	0.0471698113	0.0000000000	0.0117647059	0.0693069307	0.0092592593	0.0000000000	0.0270270270	0.0000000000					0.0000000000	0.0178571429	0.0000000000		0.0181818182	0.0138888889	0.0240963855	0.0000000000	0.0000000000	0.0178571429	0.0000000000	0.0373831776	0.0144927536	0.0098039216	0.0375000000	0.0149253731	0.0156250000	0.0000000000	0.0123456790	0.0769230769	0.0545454545	0.0344827586	0.0566037736		0.0166666667		0.0481927711	0.0126582278	0.0493827160	0.0169491525	0.0675675676	0.0444444444	0.0108695652	0.0196078431	0.0857142857	0.0363636364	0.0384615385	0.1034482759	0.0082644628	0.0225563910	0.0307692308	0.0504201681	0.0522388060	0.0280373832	0.0427350427	0.0270270270	0.0090090090	0.0175438596	0.0470588235	0.0500000000		0.0000000000	0.0937500000	
9-19	Pos	Brazil		0.0138888889	0.0735294118	0.0053804766	0.0015151515	0.0016339869	0.0105263158	0.0178041543	0.0176991150	0.0389610390	0.0407239819	0.0224719101	0.0517241379	0.0195121951	0.0340136054	0.0365853659	0.0625000000	0.0434782609	0.1052631579	0.0687830688	0.0265957447	0.0200000000	0.0471698113	0.0461538462	0.0084033613	0.0544217687	0.0272727273	0.0537634409	0.0158730159	0.0000000000	0.0144927536	0.0000000000	0.0000000000	0.0093457944	0.0000000000	0.0075757576	0.0035714286	0.0077821012	0.0000000000	0.0000000000	0.0185758514	0.0000000000	0.0346820809	0.0496894410	0.0648148148	0.0500000000	0.0229885057	0.0291970803	0.0297029703	0.0495049505	0.0757575758	0.0793650794				0.0181818182		0.0192307692	0.0183486239	0.0186335404	0.0000000000	0.0103092784	0.0320000000	0.0078740157	0.0245398773	0.0541871921	0.0173410405	0.0349650350	0.0512820513	0.0588235294	0.0129032258	0.0240384615	0.0401785714	0.0224215247	0.0108695652	0.0625000000	0.0165289256	0.0215053763	0.0186915888	0.0757575758	0.0181818182			0.0285714286			0.0120481928	
