country	pathogen	test_result	2021-11-06	2021-11-13	2021-11-20	2021-11-27	2021-12-04	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04	2023-02-11	2023-02-18	2023-02-25	2023-03-04	2023-03-11	2023-03-18	2023-03-25	2023-04-01	2023-04-08	2023-04-15	2023-04-22	2023-04-29	2023-05-06	2023-05-13	2023-05-20	2023-05-27	2023-06-03	2023-06-10	2023-06-17	2023-06-24	2023-07-01	2023-07-08	2023-07-15	2023-07-22	2023-07-29	2023-08-05	2023-08-12	2023-08-19	2023-08-26
Brazil	ADENO	Pos									0.0000000000	0.0047169811	0.0051369863	0.0110803324	0.0316205534	0.0526315789	0.0075757576	0.0263157895	0.0120481928	0.0230769231	0.0263157895	0.0467289720	0.0559440559	0.0700636943	0.0416666667	0.1007194245	0.0454545455	0.0516129032	0.0386740331	0.0928270042	0.0890052356	0.1000000000	0.1048689139	0.1301115242	0.1666666667	0.1707317073	0.1712962963	0.1748633880	0.1940298507	0.2142857143	0.2644628099	0.2184873950	0.2442748092	0.2269503546	0.2278481013	0.2071005917	0.2430555556	0.3351063830	0.1744680851	0.2230769231	0.2290076336	0.2085561497	0.1978609626	0.1891891892	0.1989528796	0.1567796610	0.1239669421	0.0854700855	0.1491712707	0.0788177340	0.0883977901	0.1354838710	0.0839694656	0.0530973451	0.0841121495	0.0515463918	0.0108695652	0.0204081633	0.0145985401	0.0331125828	0.0465116279	0.0200000000	0.0400000000	0.0662251656	0.0487804878	0.0303030303	0.0187500000	0.0253164557	0.0466666667	0.0404040404	0.0290697674	0.0264550265	0.0252525253	0.0202020202	0.0274725275	0.0261780105	0.0114942529	0.0370370370	0.0657894737	0.0409836066	0.0380952381	0.0476190476	0.0465116279	0.0192307692	0.0319148936	0.0263157895	0.0600000000
Brazil	BAC	Pos									0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0070921986	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0053475936	0.0216216216	0.0157068063	0.0127118644	0.0000000000	0.0042735043	0.0110497238	0.0049261084	0.0165745856	0.0129032258	0.0000000000	0.0265486726	0.0093457944	0.0103092784	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0155038760	0.0133333333	0.0133333333	0.0728476821	0.0060975610	0.0353535354	0.0375000000	0.0189873418	0.0400000000	0.0555555556	0.0523255814	0.0582010582	0.0202020202	0.0303030303	0.0274725275	0.0157068063	0.0229885057	0.0123456790	0.0197368421	0.0327868852	0.0380952381	0.0952380952	0.0000000000	0.0384615385	0.0531914894	0.0000000000	0.0100000000
Brazil	BOCA	Pos										0.0057636888	0.0058479532	0.0000000000	0.0229007634	0.0303030303	0.0185185185		0.1290322581																																																											0.0161290323		0.0156250000	0.0153846154	0.0350877193															
Brazil	COVS	Pos									0.0000000000	0.0110062893	0.0034246575	0.0027700831	0.0079051383	0.0000000000	0.0075757576	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0083333333	0.0000000000	0.0000000000	0.0064516129	0.0165745856	0.0042194093	0.0209424084	0.0100000000	0.0299625468	0.0334572491	0.0427350427	0.0731707317	0.0648148148	0.1530054645	0.1417910448	0.1349206349	0.0991735537	0.0504201681	0.1450381679	0.1347517730	0.1202531646	0.1301775148	0.1250000000	0.0904255319	0.0893617021	0.0807692308	0.0801526718	0.0695187166	0.0695187166	0.0972972973	0.0994764398	0.0635593220	0.0743801653	0.0512820513	0.0497237569	0.0541871921	0.0276243094	0.0387096774	0.0381679389	0.0000000000	0.0093457944	0.0412371134	0.0000000000	0.0204081633	0.0145985401	0.0264900662	0.0232558140	0.0133333333	0.0200000000	0.0331125828	0.0121951220	0.0101010101	0.0375000000	0.0316455696	0.0133333333	0.0101010101	0.0348837209	0.0582010582	0.0656565657	0.0757575758	0.0824175824	0.0732984293	0.0919540230	0.0864197531	0.1118421053	0.0901639344	0.1142857143	0.1047619048	0.1395348837	0.0769230769	0.1276595745	0.0350877193	0.0500000000
Brazil	ENTERO	Pos										0.0057636888	0.0058479532	0.0000000000	0.0000000000	0.0151515152	0.0185185185		0.0483870968																																																											0.0322580645		0.0312500000	0.0307692308	0.0350877193															
Brazil	FLUA	Pos									0.2978540773	0.2036151228	0.0994880926	0.0694295326	0.0367536646	0.0138996806	0.0089482557	0.0072119947	0.0055671538	0.0053292729	0.0068381635	0.0035728464	0.0028818444	0.0041682455	0.0080798479	0.0053361793	0.0087583720	0.0090244951	0.0112312812	0.0090090090	0.0106382979	0.0212825539	0.0204841713	0.0250855188	0.0294446515	0.0306612486	0.0473705339	0.0467334287	0.0401319406	0.0414746544	0.0446808511	0.0298627926	0.0408163265	0.0592686003	0.0954802260	0.1798165138	0.3107762297	0.3628626692	0.4150608819	0.3854154214	0.3487650775	0.2616592273	0.1919564454	0.1498329001	0.0990747010	0.0664714999	0.0479241415	0.0430991530	0.0422832981	0.0466278102	0.0359307359	0.0306334372	0.0298034242	0.0363495746	0.0560344828	0.0393754243	0.0553539020	0.0547297297	0.0519730510	0.0432513050	0.0533922120	0.0633127995	0.0775316456	0.0705430933	0.0847497090	0.0979557070	0.1145374449	0.1212744090	0.1529617596	0.1594808623	0.1846013251	0.1580063627	0.1628056628	0.1645662100	0.1506011390	0.1648351648	0.1202072539	0.1283124128	0.0999432141	0.0749381407	0.0520918786	0.0419545903	0.0393885949	0.0265536723	0.0219629375	0.0140931373	0.0163075131
Brazil	FLUB	Pos									0.0043177893	0.0036561312	0.0073922617	0.0008151469	0.0005263158	0.0005566896	0.0002805049	0.0000000000	0.0005497526	0.0000000000	0.0023980815	0.0015052684	0.0021897810	0.0010660981	0.0015552100	0.0000000000	0.0008291874	0.0013262599	0.0006119951	0.0000000000	0.0000000000	0.0000000000	0.0004076641	0.0008598452	0.0000000000	0.0027670172	0.0000000000	0.0014903130	0.0008278146	0.0000000000	0.0010752688	0.0000000000	0.0000000000	0.0010405827	0.0034512511	0.0026350461	0.0011240165	0.0035352345	0.0005505092	0.0005574913	0.0006721334	0.0008917425	0.0006206041	0.0015583259	0.0005613247	0.0004385965	0.0010729614	0.0003311258	0.0024414062	0.0029188558	0.0018507094	0.0045662100	0.0062001771	0.0083073728	0.0218978102	0.0213857998	0.0555555556	0.0720887246	0.0812791472	0.0906874695	0.0874562719	0.1261498029	0.1087221095	0.1146025878	0.1190679170	0.1161737277	0.1067397614	0.0941661382	0.0767818905	0.0673436665	0.0644891122	0.0536418617	0.0464167304	0.0415370946	0.0352456908	0.0274884259	0.0244215938	0.0245872849	0.0205278592	0.0162454874	0.0166233766	0.0180910792	0.0112191473	0.0131004367	0.0106382979	0.0123239437	0.0095320624
Brazil	META	Pos									0.0181818182	0.0031446541	0.0068493151	0.0027700831	0.0158102767	0.0263157895	0.0227272727	0.0131578947	0.0240963855	0.0384615385	0.0701754386	0.0747663551	0.1118881119	0.1656050955	0.2000000000	0.2949640288	0.2556818182	0.2451612903	0.1712707182	0.1392405063	0.1099476440	0.0700000000	0.0561797753	0.0446096654	0.0427350427	0.0284552846	0.0185185185	0.0109289617	0.0223880597	0.0238095238	0.0082644628	0.0420168067	0.0152671756	0.0425531915	0.0063291139	0.0059171598	0.0069444444	0.0000000000	0.0042553191	0.0115384615	0.0190839695	0.0213903743	0.0267379679	0.0486486486	0.0157068063	0.0338983051	0.0454545455	0.0341880342	0.0386740331	0.0541871921	0.0662983425	0.0645161290	0.0763358779	0.0707964602	0.0280373832	0.0721649485	0.0652173913	0.0612244898	0.0437956204	0.0397350993	0.1162790698	0.0800000000	0.0600000000	0.1125827815	0.0792682927	0.0303030303	0.0562500000	0.0632911392	0.0533333333	0.0656565657	0.0697674419	0.0740740741	0.0707070707	0.0202020202	0.0439560440	0.0628272251	0.0517241379	0.0432098765	0.1118421053	0.0819672131	0.0285714286	0.0666666667	0.0232558140	0.0576923077	0.0744680851	0.0438596491	0.0200000000
Brazil	PARA	Pos									0.0181818182	0.0220125786	0.0222602740	0.0166204986	0.0276679842	0.0131578947	0.0151515152	0.0197368421	0.0240963855	0.0230769231	0.0350877193	0.0186915888	0.0069930070	0.0318471338	0.0250000000	0.0575539568	0.1022727273	0.0774193548	0.0607734807	0.0506329114	0.1047120419	0.1800000000	0.1573033708	0.1301115242	0.0940170940	0.1016260163	0.0648148148	0.0546448087	0.0597014925	0.0317460317	0.0661157025	0.0756302521	0.0305343511	0.0425531915	0.0443037975	0.0295857988	0.0555555556	0.0319148936	0.0510638298	0.0346153846	0.0534351145	0.0802139037	0.0962566845	0.0810810811	0.0785340314	0.0550847458	0.0578512397	0.0811965812	0.0883977901	0.0640394089	0.0828729282	0.0451612903	0.0534351145	0.0442477876	0.0841121495	0.1134020619	0.0326086957	0.0408163265	0.0583941606	0.0331125828	0.0465116279	0.0866666667	0.0466666667	0.0794701987	0.0609756098	0.0606060606	0.0312500000	0.1075949367	0.0733333333	0.0606060606	0.0523255814	0.0582010582	0.0959595960	0.0656565657	0.0494505495	0.0418848168	0.0287356322	0.0246913580	0.0855263158	0.0409836066	0.0190476190	0.0761904762	0.0813953488	0.0576923077	0.0319148936	0.0350877193	0.0400000000
Brazil	RINO	Pos									0.0727272727	0.0911949686	0.0599315068	0.0526315789	0.0513833992	0.0526315789	0.1136363636	0.2828947368	0.3554216867	0.3076923077	0.3157894737	0.3457943925	0.3846153846	0.5477707006	0.3916666667	0.3237410072	0.2897727273	0.2774193548	0.2872928177	0.3417721519	0.4240837696	0.3300000000	0.3108614232	0.2750929368	0.2179487179	0.2479674797	0.2407407407	0.1748633880	0.2164179104	0.2539682540	0.1900826446	0.2521008403	0.3053435115	0.3546099291	0.3607594937	0.2781065089	0.2708333333	0.2819148936	0.2340425532	0.2615384615	0.2938931298	0.2299465241	0.2245989305	0.3189189189	0.2460732984	0.2711864407	0.2396694215	0.1923076923	0.2209944751	0.2118226601	0.1823204420	0.2709677419	0.1908396947	0.1150442478	0.1214953271	0.1752577320	0.2282608696	0.2959183673	0.3795620438	0.3178807947	0.3100775194	0.2266666667	0.2533333333	0.3443708609	0.2621951220	0.2474747475	0.2625000000	0.2151898734	0.2133333333	0.1969696970	0.1860465116	0.2063492063	0.2323232323	0.2878787879	0.2582417582	0.2146596859	0.2298850575	0.2407407407	0.2828947368	0.3442622951	0.2380952381	0.2666666667	0.1744186047	0.2115384615	0.2765957447	0.3157894737	0.4400000000
Brazil	SC2	Pos					0.0317254174	0.0089324810	0.0107300652	0.0423115327	0.2081964728	0.3904158844	0.4413595131	0.5308875414	0.5120648561	0.4360546028	0.3479805170	0.2586748457	0.1499449970	0.0986993849	0.0693493932	0.0470095493	0.0398372803	0.0418498571	0.0555396671	0.0758822127	0.0940704414	0.1217554119	0.1674425704	0.2291156864	0.2833670034	0.3512166691	0.3852449447	0.4184064276	0.4676268937	0.4439242570	0.3943048374	0.3340654885	0.2807262291	0.2270607375	0.1801814184	0.1434665206	0.1128142244	0.0819624339	0.0604147881	0.0455316879	0.0346357831	0.0363945578	0.0252143994	0.0299648947	0.0339588919	0.0612832233	0.0906866493	0.1727063561	0.2728023964	0.3689581096	0.3916526138	0.3711412208	0.3822395117	0.3792475728	0.3644845220	0.3387129517	0.2761657375	0.2101754655	0.1572955390	0.1348617041	0.1316959774	0.1448115403	0.1725588545	0.1918273986	0.2374137490	0.2364781597	0.2354732896	0.2210831410	0.1999521073	0.1631717546	0.1367312553	0.1174198532	0.1127192982	0.1068473516	0.1009857612	0.1065563087	0.0979653353	0.0917889982	0.0907967881	0.0838412569	0.0761953465	0.0720332461	0.0660197264	0.0643372158	0.0687539666	0.0690308609	0.0834635824	0.0892696123	0.1074721781	0.1524373063	0.1488933602
Brazil	VSR	Pos									0.2380952381	0.1113122172	0.0972794724	0.0074975657	0.0088603727	0.0094054807	0.0184301465	0.0300897840	0.0419702711	0.0798982188	0.0785296575	0.0793731041	0.1329243354	0.0988904969	0.1199469848	0.1564885496	0.1766759777	0.1404151404	0.1485380117	0.1282828283	0.1080568720	0.0982758621	0.0838709677	0.0630268968	0.0670050761	0.0534198702	0.0544580886	0.0539877301	0.0405982906	0.0318524728	0.0342857143	0.0223166844	0.0221153846	0.0319865320	0.0189873418	0.0257186082	0.0255918106	0.0237515225	0.0257973734	0.0363128492	0.0555088310	0.0841013825	0.1085997795	0.1582544690	0.1565276828	0.1359338061	0.1667703796	0.1212522046	0.1479324403	0.1633051399	0.1856287425	0.1831530139	0.1759697256	0.1672816728	0.1277997365	0.0905624404	0.1232492997	0.1284722222	0.0864304235	0.1077529566	0.1288782816	0.1029716655	0.1111111111	0.1358974359	0.1600201918	0.1534863946	0.1605237633	0.1785885742	0.1753875969	0.1362281822	0.1188208617	0.1112022979	0.0936639118	0.0715674835	0.0694133453	0.0743321719	0.0761478163	0.0667506297	0.0573065903	0.0733564014	0.0819295559	0.0635593220	0.0682819383	0.0591397849	0.0399385561	0.0307486631	0.0411140584
