name	pathogen	test_result	epiweek	0-4	19-29	29-39	39-49	4-9	49-59	59-69	69-79	80+	9-19
Brasil	BOCA	Pos	2022-01-01	2	0	0	0	0	0	0	0	0	0
Brasil	META	Pos	2022-01-01	0	0	0	0	0	0	0	0	0	0
Brasil	PARA	Neg	2022-01-01	4	5	4	3	4	3	1	2	4	6
Brasil	RINO	Pos	2022-01-01	0	0	1	0	0	1	0	0	0	0
Brasil	BAC	Neg	2022-01-01	4	5	4	3	4	3	1	2	4	7
Brasil	RINO	Neg	2022-01-01	4	5	3	3	4	2	1	2	4	7
Brasil	VSR	Neg	2022-01-01	3	5	4	3	4	3	0	1	3	7
Brasil	SC2	Pos	2022-01-01	1	0	2	1	0	1	0	0	1	3
Brasil	SC2	Neg	2022-01-01	3	5	2	2	4	2	1	2	3	4
Brasil	VSR	Pos	2022-01-01	1	0	0	0	0	0	1	1	1	0
Brasil	COVS	Pos	2022-01-01	0	0	0	0	0	0	0	0	0	0
Brasil	COVS	Neg	2022-01-01	4	5	4	3	4	3	1	2	4	7
Brasil	FLUA	Neg	2022-01-01	3	1	1	0	1	2	1	1	2	2
Brasil	ENTERO	Neg	2022-01-01	2	5	4	3	3	3	1	2	4	4
Brasil	ADENO	Neg	2022-01-01	4	5	4	3	4	3	1	2	4	7
Brasil	PARA	Pos	2022-01-01	0	0	0	0	0	0	0	0	0	1
Brasil	FLUB	Neg	2022-01-01	4	5	4	3	4	3	1	2	4	7
Brasil	FLUA	Pos	2022-01-01	1	4	3	3	3	1	0	1	2	5
Brasil	BOCA	Neg	2022-01-01	0	5	4	3	3	3	1	2	4	4
Brasil	FLUB	Pos	2022-01-01	0	0	0	0	0	0	0	0	0	0
Brasil	ENTERO	Pos	2022-01-01	0	0	0	0	0	0	0	0	0	0
Brasil	BAC	Pos	2022-01-01	0	0	0	0	0	0	0	0	0	0
Brasil	ADENO	Pos	2022-01-01	0	0	0	0	0	0	0	0	0	0
Brasil	META	Neg	2022-01-01	4	5	4	3	4	3	1	2	4	7
Brasil	VSR	Pos	2022-01-08	12	3	6	3	2	3	3	3	2	1
Brasil	ENTERO	Pos	2022-01-08	1	0	0	0	0	0	0	0	0	0
Brasil	SC2	Neg	2022-01-08	34	36	51	62	32	33	37	25	15	43
Brasil	FLUA	Neg	2022-01-08	28	39	50	62	26	44	30	17	18	37
Brasil	BOCA	Pos	2022-01-08	0	0	0	0	0	0	0	0	0	0
Brasil	ADENO	Neg	2022-01-08	32	54	52	56	36	47	35	29	13	42
Brasil	RINO	Pos	2022-01-08	6	6	6	4	4	5	3	3	1	7
Brasil	META	Pos	2022-01-08	0	0	0	0	0	0	0	0	0	0
Brasil	BOCA	Neg	2022-01-08	13	50	52	56	17	47	35	29	13	20
Brasil	ENTERO	Neg	2022-01-08	12	50	52	56	17	47	35	29	13	20
Brasil	PARA	Neg	2022-01-08	31	53	51	56	34	47	35	29	13	43
Brasil	FLUB	Neg	2022-01-08	33	59	57	61	37	52	39	29	18	43
Brasil	META	Neg	2022-01-08	32	54	52	56	36	47	35	29	13	43
Brasil	BAC	Pos	2022-01-08	0	0	0	0	0	0	0	0	0	0
Brasil	FLUB	Pos	2022-01-08	0	0	0	0	0	0	0	0	0	0
Brasil	ADENO	Pos	2022-01-08	0	0	0	0	0	0	0	0	0	1
Brasil	VSR	Neg	2022-01-08	28	66	69	90	46	59	46	28	20	54
Brasil	COVS	Neg	2022-01-08	32	54	52	55	34	45	35	29	13	43
Brasil	SC2	Pos	2022-01-08	6	33	24	31	16	29	12	6	7	12
Brasil	BAC	Neg	2022-01-08	32	54	52	56	36	47	35	29	13	43
Brasil	PARA	Pos	2022-01-08	1	1	1	0	2	0	0	0	0	0
Brasil	COVS	Pos	2022-01-08	0	0	0	1	2	2	0	0	0	0
Brasil	RINO	Neg	2022-01-08	26	48	46	52	32	42	32	26	12	36
Brasil	FLUA	Pos	2022-01-08	12	30	25	31	22	18	19	14	4	18
Brasil	ADENO	Neg	2022-01-15	56	46	61	39	31	26	35	22	26	34
Brasil	FLUB	Neg	2022-01-15	68	57	105	65	36	40	63	43	40	42
Brasil	ADENO	Pos	2022-01-15	2	0	0	0	0	0	0	0	0	0
Brasil	FLUA	Pos	2022-01-15	31	22	30	21	17	11	21	21	12	10
Brasil	RINO	Pos	2022-01-15	8	2	6	1	4	1	2	0	0	4
Brasil	META	Pos	2022-01-15	2	0	0	0	0	0	0	0	0	0
Brasil	VSR	Pos	2022-01-15	21	2	3	3	6	1	6	0	6	5
Brasil	ENTERO	Neg	2022-01-15	35	45	61	39	17	26	35	22	26	16
Brasil	VSR	Neg	2022-01-15	100	60	120	114	56	59	69	64	54	57
Brasil	COVS	Neg	2022-01-15	58	46	61	39	31	26	35	22	26	34
Brasil	BAC	Neg	2022-01-15	58	46	61	39	31	26	35	22	26	34
Brasil	RINO	Neg	2022-01-15	50	44	55	38	27	25	33	22	26	30
Brasil	PARA	Pos	2022-01-15	2	1	0	0	2	0	1	1	0	0
Brasil	COVS	Pos	2022-01-15	0	0	0	0	0	0	0	0	0	0
Brasil	ENTERO	Pos	2022-01-15	0	0	0	0	1	0	0	0	0	0
Brasil	BOCA	Neg	2022-01-15	33	45	61	39	18	26	35	22	26	16
Brasil	FLUB	Pos	2022-01-15	0	0	0	0	0	0	0	0	0	0
Brasil	SC2	Neg	2022-01-15	67	36	60	69	31	33	44	46	41	29
Brasil	META	Neg	2022-01-15	56	46	61	39	31	26	35	22	26	34
Brasil	PARA	Neg	2022-01-15	56	45	61	39	29	26	34	21	26	34
Brasil	BOCA	Pos	2022-01-15	2	0	0	0	0	0	0	0	0	0
Brasil	BAC	Pos	2022-01-15	0	0	0	0	0	0	0	0	0	0
Brasil	SC2	Pos	2022-01-15	52	26	62	48	30	27	31	18	19	33
Brasil	FLUA	Neg	2022-01-15	90	40	93	96	45	49	54	43	48	52
Brasil	FLUA	Pos	2022-01-22	76	328	370	237	104	156	89	53	30	165
Brasil	PARA	Pos	2022-01-22	5	1	0	0	0	0	0	0	0	0
Brasil	ADENO	Pos	2022-01-22	3	0	0	0	0	0	0	0	0	0
Brasil	FLUB	Neg	2022-01-22	421	3934	4905	4013	572	2347	1225	572	308	1218
Brasil	ENTERO	Pos	2022-01-22	0	0	0	0	0	0	0	0	0	0
Brasil	COVS	Pos	2022-01-22	0	0	0	0	0	0	0	0	0	0
Brasil	BOCA	Neg	2022-01-22	15	17	22	11	5	16	21	18	11	12
Brasil	SC2	Pos	2022-01-22	291	2204	2955	2541	370	1447	717	324	171	688
Brasil	RINO	Neg	2022-01-22	41	19	21	11	18	15	21	17	11	28
Brasil	PARA	Neg	2022-01-22	43	18	22	11	18	16	21	18	11	30
Brasil	ADENO	Neg	2022-01-22	45	19	22	11	18	16	21	18	11	30
Brasil	META	Neg	2022-01-22	48	19	22	11	18	16	21	18	11	30
Brasil	SC2	Neg	2022-01-22	307	1745	1989	1569	321	923	549	282	167	609
Brasil	BAC	Pos	2022-01-22	0	0	0	0	0	0	0	0	0	0
Brasil	RINO	Pos	2022-01-22	7	0	1	0	0	1	0	1	0	2
Brasil	FLUB	Pos	2022-01-22	0	0	0	0	0	0	0	0	0	0
Brasil	FLUA	Neg	2022-01-22	522	3621	4574	3873	588	2214	1177	554	308	1132
Brasil	META	Pos	2022-01-22	0	0	0	0	0	0	0	0	0	0
