country	pathogen	test_result	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04
Brazil	RINO	1	0	0	0	3	36	24	7	4	2	7	8	14	10	6	5	2	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Brazil	RINO	0	0	0	0	32	311	318	154	127	64	47	42	48	36	19	19	20	8	1	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	13	0
Brazil	BOCA	1	0	0	0	3	2	2	0	3	2	1	1	8	9	3	5	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Brazil	BOCA	0	0	0	0	32	345	340	161	128	64	53	49	54	37	22	19	19	10	1	0	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	13	0
Brazil	PARA	0	0	0	0	35	342	337	161	127	66	53	48	61	45	23	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	13	0
Brazil	PARA	1	0	0	0	0	5	5	0	4	0	1	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Brazil	COVS	0	0	0	0	35	343	342	161	129	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	13	0
Brazil	COVS	1	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brazil	ENTERO	0	0	0	0	35	345	340	161	131	65	53	48	59	45	24	23	22	9	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	12	0
Brazil	ENTERO	1	0	0	0	0	2	2	0	0	1	1	2	3	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Brazil	VSR	1	26	27	35	139	244	287	94	43	31	46	62	79	93	123	82	80	76	36	34	72	79	105	107	92	82	82	75	57	48	40	36	42	18	18	11	9	15	9	20	15	11	17	21	46	58	85	102	56	115	4	87	84	76	98	2	3	47	41	45	36	0
Brazil	VSR	0	2490	2418	1933	6611	16723	26209	22550	9035	8025	5519	3377	2569	1286	1603	1228	504	977	365	132	256	367	473	508	605	710	727	824	702	698	619	561	515	379	362	313	331	336	420	419	490	473	650	670	807	610	645	662	297	870	133	812	548	477	426	15	0	244	185	164	209	0
Brazil	SC2	0	15080	8882	11883	18096	42728	37396	26227	22543	20197	14687	14298	10743	7531	9175	9107	13928	14400	12901	11435	10096	13609	12323	12696	13456	15798	20348	24446	15558	15073	18317	20447	20101	15144	11995	11105	9193	10271	9703	9381	7959	9182	8509	6994	5938	4705	6120	5745	2026	4279	7354	10165	8721	7856	4260	98	74	2696	3837	3603	3444	74
Brazil	SC2	Não Detectado	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
