pathogen	country	test_result	2021-12-05	2021-12-06	2021-12-07	2021-12-08	2021-12-09	2021-12-10	2021-12-11	2021-12-12	2021-12-13	2021-12-14	2021-12-15	2021-12-16	2021-12-17	2021-12-18	2021-12-19	2021-12-20	2021-12-21	2021-12-22	2021-12-23	2021-12-24	2021-12-25	2021-12-26	2021-12-27	2021-12-28	2021-12-29	2021-12-30	2021-12-31	2022-01-01	2022-01-02	2022-01-03	2022-01-04	2022-01-05	2022-01-06	2022-01-07	2022-01-08	2022-01-09	2022-01-10	2022-01-11	2022-01-12	2022-01-13	2022-01-14	2022-01-15	2022-01-16	2022-01-17	2022-01-18	2022-01-19	2022-01-20	2022-01-21	2022-01-22	2022-01-23	2022-01-24	2022-01-25	2022-01-26	2022-01-27	2022-01-28	2022-01-29	2022-01-30	2022-01-31	2022-02-01	2022-02-02	2022-02-03	2022-02-04	2022-02-05	2022-02-06	2022-02-07	2022-02-08	2022-02-09	2022-02-10	2022-02-11	2022-02-12	2022-02-13	2022-02-14	2022-02-15	2022-02-16	2022-02-17	2022-02-18	2022-02-19	2022-02-20	2022-02-21	2022-02-22	2022-02-23	2022-02-24	2022-02-25	2022-02-26	2022-02-27	2022-02-28	2022-03-01	2022-03-02	2022-03-03	2022-03-04	2022-03-05	2022-03-06	2022-03-07	2022-03-08	2022-03-09	2022-03-10	2022-03-11	2022-03-12	2022-03-13	2022-03-14	2022-03-15	2022-03-16	2022-03-17	2022-03-18	2022-03-19	2022-03-20	2022-03-21	2022-03-22	2022-03-23	2022-03-24	2022-03-25	2022-03-26	2022-03-27	2022-03-28	2022-03-29	2022-03-30	2022-03-31	2022-04-01	2022-04-02	2022-04-03	2022-04-04	2022-04-05	2022-04-06	2022-04-07	2022-04-08	2022-04-09	2022-04-10	2022-04-11	2022-04-12	2022-04-13	2022-04-14	2022-04-15	2022-04-16	2022-04-17	2022-04-18	2022-04-19	2022-04-20	2022-04-21	2022-04-22	2022-04-23	2022-04-24	2022-04-25	2022-04-26	2022-04-27	2022-04-28	2022-04-29	2022-04-30	2022-05-01	2022-05-02	2022-05-03	2022-05-04	2022-05-05	2022-05-06	2022-05-07	2022-05-08	2022-05-09	2022-05-10	2022-05-11	2022-05-12	2022-05-13	2022-05-14	2022-05-15	2022-05-16	2022-05-17	2022-05-18	2022-05-19	2022-05-20	2022-05-21	2022-05-22	2022-05-23	2022-05-24	2022-05-25	2022-05-26	2022-05-27	2022-05-28	2022-05-29	2022-05-30	2022-05-31	2022-06-01	2022-06-02	2022-06-03	2022-06-04	2022-06-05	2022-06-06	2022-06-07	2022-06-08	2022-06-09	2022-06-10	2022-06-11	2022-06-12	2022-06-13	2022-06-14	2022-06-15	2022-06-16	2022-06-17	2022-06-18	2022-06-19	2022-06-20	2022-06-21	2022-06-22	2022-06-23	2022-06-24	2022-06-25	2022-06-26	2022-06-27	2022-06-28	2022-06-29	2022-06-30	2022-07-01	2022-07-02	2022-07-03	2022-07-04	2022-07-05	2022-07-06	2022-07-07	2022-07-08	2022-07-09	2022-07-10	2022-07-11	2022-07-12	2022-07-13	2022-07-14	2022-07-15	2022-07-16	2022-07-17	2022-07-18	2022-07-19	2022-07-20	2022-07-21	2022-07-22	2022-07-23	2022-07-24	2022-07-25	2022-07-26	2022-07-27	2022-07-28	2022-07-29	2022-07-30	2022-07-31	2022-08-01	2022-08-02	2022-08-03	2022-08-04	2022-08-05	2022-08-06	2022-08-07	2022-08-08	2022-08-09	2022-08-10	2022-08-11	2022-08-12	2022-08-13	2022-08-14	2022-08-15	2022-08-16	2022-08-17	2022-08-18	2022-08-19	2022-08-20	2022-08-21	2022-08-22	2022-08-23	2022-08-24	2022-08-25	2022-08-26	2022-08-27	2022-08-28	2022-08-29	2022-08-30	2022-08-31	2022-09-01	2022-09-02	2022-09-03	2022-09-04	2022-09-05	2022-09-06	2022-09-07	2022-09-08	2022-09-09	2022-09-10	2022-09-11	2022-09-12	2022-09-13	2022-09-14	2022-09-15	2022-09-16	2022-09-17	2022-09-18	2022-09-19	2022-09-20	2022-09-21	2022-09-22	2022-09-23	2022-09-24	2022-09-25	2022-09-26	2022-09-27	2022-09-28	2022-09-29	2022-09-30	2022-10-01	2022-10-02	2022-10-03	2022-10-04	2022-10-05	2022-10-06	2022-10-07	2022-10-08	2022-10-09	2022-10-10	2022-10-11	2022-10-12	2022-10-13	2022-10-14	2022-10-15	2022-10-16	2022-10-17	2022-10-18	2022-10-19	2022-10-20	2022-10-21	2022-10-22	2022-10-23	2022-10-24	2022-10-25	2022-10-26	2022-10-27	2022-10-28	2022-10-29	2022-10-30	2022-10-31	2022-11-01	2022-11-02	2022-11-03	2022-11-04	2022-11-05	2022-11-06	2022-11-07	2022-11-08	2022-11-09	2022-11-10	2022-11-11	2022-11-12	2022-11-13	2022-11-14	2022-11-15	2022-11-16	2022-11-17	2022-11-18	2022-11-19	2022-11-20	2022-11-21	2022-11-22	2022-11-23	2022-11-24	2022-11-25	2022-11-26	2022-11-27	2022-11-28	2022-11-29	2022-11-30	2022-12-01	2022-12-02	2022-12-03	2022-12-04	2022-12-05	2022-12-06	2022-12-07	2022-12-08	2022-12-09	2022-12-10	2022-12-11	2022-12-12	2022-12-13	2022-12-14	2022-12-15	2022-12-16	2022-12-17	2022-12-18	2022-12-19	2022-12-20	2022-12-21	2022-12-22	2022-12-23	2022-12-24	2022-12-25	2022-12-26	2022-12-27	2022-12-28	2022-12-29	2022-12-30	2022-12-31	2023-01-01	2023-01-02	2023-01-03	2023-01-04	2023-01-05	2023-01-06	2023-01-07	2023-01-08	2023-01-09	2023-01-10	2023-01-11	2023-01-12	2023-01-13	2023-01-14	2023-01-15	2023-01-16	2023-01-17	2023-01-18	2023-01-19	2023-01-20	2023-01-21	2023-01-22	2023-01-23	2023-01-24	2023-01-25	2023-01-26	2023-01-27	2023-01-28	2023-01-29	2023-01-30	2023-01-31	2023-02-01	2023-02-02	2023-02-03	2023-02-04
FLUA	Brazil	1.0	197	0	282	646	359	642	390	195	51	426	583	404	329	457	142	46	304	422	362	474	219	21	80	1071	1513	1505	1460	1101	98	55	2116	3198	2616	4107	4779	3296	3721	3811	4095	4681	3625	3268	3125	1720	1895	4476	4064	3550	3814	2774	366	1238	1267	1291	786	1356	1092	8	1610	1200	1658	1416	1072	569	16	881	1329	961	1109	700	435	7	775	933	432	439	418	169	7	602	409	590	496	375	188	134	220	139	229	243	226	207	151	307	518	267	139	137	195	50	220	157	306	205	177	111	71	146	57	80	83	36	113	71	217	194	107	92	259	87	49	174	36	22	11	22	32	51	29	8	10	24	12	42	72	78	56	53	23	4	20	49	26	97	102	80	72	52	91	104	94	106	82	49	43	83	101	146	95	108	39	69	106	132	134	130	91	35	61	112	151	141	142	121	64	64	104	163	142	168	130	38	74	135	149	199	164	132	46	68	116	157	156	127	85	50	58	109	165	154	106	105	49	67	104	137	115	103	82	51	72	83	122	108	114	73	25	62	96	114	87	82	88	28	53	59	85	74	56	41	30	41	56	63	64	73	61	22	36	42	51	61	57	54	23	39	54	68	44	66	58	11	45	60	78	67	68	18	15	43	66	69	75	85	62	29	38	84	56	77	68	74	42	51	81	100	59	61	86	67	41	79	92	78	92	71	31	41	77	81	138	139	115	76	48	97	110	182	99	98	57	78	121	130	118	183	166	57	66	118	115	64	113	112	80	50	95	128	87	153	128	89	63	113	132	139	164	82	71	37	101	99	57	38	8	13	44	134	150	182	174	180	121	5	6	22	4	16	44	40	74	150	165	179	150	121	60	69	83	112	112	102	100	54	54	85	91	104	96	65	58	52	86	91	117	102	57	19	17	0	0	0	0	0	0	0	0	0	0	0	2	0	19	51	47	65	44	51	12	36	50	33	40	22	26	15	19	44	37	31	35	26	11	30	43	39	46	37	33	17	0	0	0	0	0	0	0
VSR	Brazil	1.0	197	0	282	646	359	642	390	195	51	426	583	404	329	457	142	46	304	422	362	473	219	21	80	1070	1513	1505	1460	1101	98	55	2116	3197	2616	4107	4778	3296	3721	3810	4095	4681	3625	3268	3125	1720	1895	4476	4064	3550	3814	2774	366	1238	1267	1291	786	1356	1092	8	1610	1200	1658	1416	1072	569	16	881	1329	961	1109	700	435	7	775	933	432	439	418	169	7	602	409	590	496	375	188	134	220	139	229	243	226	207	151	307	518	267	139	137	195	50	220	157	306	205	177	111	71	146	57	80	83	36	113	71	217	194	107	92	259	87	49	174	36	22	11	22	32	51	29	8	10	24	12	42	72	78	56	53	23	4	20	49	26	97	102	80	72	52	91	104	94	106	82	49	43	83	101	146	95	108	39	69	106	132	134	130	91	35	61	112	151	141	142	121	64	64	104	163	142	168	130	38	74	135	149	199	164	132	46	68	116	157	156	127	85	50	58	109	165	154	106	105	49	67	104	137	115	103	82	51	72	83	122	108	114	73	25	62	96	114	87	82	88	28	53	59	85	73	56	41	30	41	56	63	64	73	61	22	36	42	51	61	57	54	23	39	54	68	44	66	58	11	45	60	78	67	68	18	15	43	66	69	75	85	62	29	38	84	56	77	68	74	42	51	81	100	59	61	86	67	41	79	92	78	92	71	31	41	77	81	138	139	115	76	48	97	110	182	99	98	57	78	121	130	118	183	166	57	66	118	115	64	113	112	80	50	95	128	87	153	128	89	63	113	132	139	164	82	71	37	101	99	57	38	8	13	44	134	150	182	174	180	121	5	6	22	4	16	44	40	74	150	165	179	150	121	60	69	83	112	112	102	100	54	54	85	91	104	96	65	58	52	86	91	117	102	57	19	17	0	0	0	0	0	0	0	0	0	0	2	0	1	21	51	47	65	44	51	12	36	50	33	41	24	27	15	20	47	38	31	35	26	12	30	43	39	46	37	33	17	0	0	0	0	0	0	0
RINO	Brazil	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	27	31	45	50	81	42	43	55	49	47	74	59	38	48	27	13	32	36	25	25	20	10	12	22	28	28	19	14	8	7	6	14	12	12	10	5	7	14	7	7	7	6	6	4	7	5	16	6	8	4	4	7	17	6	15	4	9	4	4	5	14	6	8	5	4	4	3	3	2	5	4	0	6	2	5	4	4	3	1	5	6	1	7	0	2	0	2	0	1	3	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	1	1	1	2	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	1	1	1	4	4	2	1	3	0	4	2	1	0	0	0	0	0	0	0
PARA	Brazil	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	27	31	45	50	81	42	43	55	49	47	74	59	38	48	27	13	32	36	25	25	20	10	12	22	28	28	19	14	8	7	6	14	12	12	10	5	7	14	7	7	7	6	6	4	7	5	16	6	8	4	4	7	17	6	15	4	9	4	4	5	14	6	8	5	4	4	3	3	2	5	4	0	6	2	5	4	4	3	1	5	6	1	7	0	2	0	2	0	1	3	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	1	1	1	2	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	1	1	1	4	4	2	1	3	0	4	2	1	0	0	0	0	0	0	0
COVS	Brazil	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	27	31	45	50	81	42	43	55	49	47	74	59	38	48	27	13	32	36	25	25	20	10	12	22	28	28	19	14	8	7	6	14	12	12	10	5	7	14	7	7	7	6	6	4	7	5	16	6	8	4	4	7	17	6	15	4	9	4	4	5	14	6	8	5	4	4	3	3	2	5	4	0	6	2	5	4	4	3	1	5	6	1	7	0	2	0	2	0	1	3	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	1	1	1	2	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	1	1	1	4	4	2	1	3	0	4	2	1	0	0	0	0	0	0	0
BOCA	Brazil	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	27	31	45	50	81	42	43	55	49	47	74	59	38	48	27	13	32	36	25	25	20	10	12	22	28	28	19	14	8	7	6	14	12	12	10	5	7	14	7	7	7	6	6	4	7	5	16	6	8	4	4	7	17	6	15	4	9	4	4	5	14	6	8	5	4	4	3	3	2	5	4	0	6	2	5	4	4	3	1	5	6	1	7	0	2	0	2	0	1	3	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	1	1	1	2	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	1	1	1	4	4	2	1	3	0	4	2	1	0	0	0	0	0	0	0
META	Brazil	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	27	31	45	50	81	42	43	55	49	47	74	59	38	48	27	13	32	36	25	25	20	10	12	22	28	28	19	14	8	7	6	14	12	12	10	5	7	14	7	7	7	6	6	4	7	5	16	6	8	4	4	7	17	6	15	4	9	4	4	5	14	6	8	5	4	4	3	3	2	5	4	0	6	2	5	4	4	3	1	5	6	1	7	0	2	0	2	0	1	3	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	1	1	1	2	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	1	1	1	4	4	2	1	3	0	4	2	1	0	0	0	0	0	0	0
SC2	Brazil	1.0	569	1733	2754	3527	2635	2804	1281	651	1940	1158	910	1119	1737	1573	448	1623	2970	2815	2650	1370	630	84	2215	4291	4465	5331	3581	2042	1533	8117	14473	12842	9775	11225	9896	6221	10974	10893	11352	11754	10216	5323	3996	7592	7934	11217	10853	9804	9079	5314	7375	7198	9177	8888	7504	6299	3450	6109	7682	6439	6920	6024	4445	2174	3898	4288	4545	3998	4221	2494	1498	3308	4051	4497	3197	2755	1773	1063	1727	2691	2392	2616	1930	1121	639	1140	978	1132	1629	1972	1241	800	1136	1466	1612	1970	1876	1216	574	1620	1648	1336	1762	1621	1078	619	2550	2498	2813	2686	2398	930	599	2724	2665	2775	2481	2128	1659	704	2688	2629	1986	2402	1952	1302	1010	2387	2522	2459	1910	1019	1076	721	2372	2471	2016	795	1802	940	812	2629	2653	2699	2869	2339	1502	831	2672	2881	2593	2447	2134	1277	718	2335	3252	2684	2644	2933	1698	1225	3200	3214	3147	2764	2839	2227	1246	3513	4024	4108	4342	4380	2718	1979	4047	4694	5992	6694	6739	3314	2770	6792	7238	8132	7675	6926	3190	1853	5889	6194	5940	3348	4286	2567	2369	4582	5100	5537	4112	3697	2459	1222	4460	6071	5976	4832	4845	2906	1721	3737	4754	6785	6169	5809	2291	1458	5280	5361	5061	4692	3986	2581	987	3512	4211	3633	3165	2888	1405	820	2760	2874	3003	2178	1967	1224	529	1936	2643	2512	2133	2163	1091	490	1577	1872	1995	1989	1629	847	391	1902	2123	2022	2064	1731	963	490	1570	1964	2001	1667	1596	1034	406	1567	1682	2103	1408	1618	1023	494	1538	1623	889	1337	1298	1061	901	1534	1737	1615	1608	1434	732	392	1209	1724	1684	1577	1245	897	371	1280	1530	1303	1220	929	568	372	932	1335	1100	1124	921	334	245	823	1187	521	706	1059	489	288	937	1420	1304	1209	1034	493	340	1125	1457	1351	1268	726	573	150	476	384	528	231	363	312	272	329	931	926	1255	1634	1012	566	1090	1419	1380	2678	2674	2364	810	2086	3539	2952	2731	2500	1828	1016	1857	2841	2571	2831	2281	1582	729	1784	2726	2562	2471	1848	1484	832	586	1255	1160	958	924	633	142	0	0	1	0	0	0	0	0	26	54	40	82	100	26	171	782	745	543	624	346	146	772	926	787	813	720	304	173	859	972	817	621	423	322	238	683	743	646	755	688	222	79	0	0	0	0	0	0
FLUB	Brazil	1.0	197	0	282	646	359	642	390	195	51	426	583	404	329	457	142	46	304	422	362	475	219	21	81	1071	1513	1505	1460	1101	98	55	2116	3195	2615	4107	4777	3296	3720	3810	4093	4681	3625	3268	3125	1720	1894	4476	4064	3550	3814	2774	366	1237	1267	1290	786	1356	1092	8	1610	1200	1658	1416	1072	569	16	881	1329	961	1109	700	435	7	775	933	432	439	418	169	7	602	409	590	496	375	188	134	220	139	229	243	226	207	151	307	518	267	139	137	195	50	220	157	306	205	177	111	71	146	57	80	83	36	113	71	217	194	107	92	259	87	49	174	36	22	11	22	32	51	29	8	10	24	12	42	72	78	56	53	23	4	20	49	26	97	102	80	72	52	91	104	94	106	82	49	43	83	101	146	95	108	39	69	106	132	134	130	91	35	61	112	151	141	142	121	64	64	104	163	142	168	130	38	74	135	149	199	164	132	46	68	116	157	156	127	85	50	58	109	165	154	106	105	49	67	104	137	115	103	82	51	72	83	122	108	114	73	25	62	96	114	87	82	88	28	53	59	85	73	56	41	30	41	56	63	64	73	61	22	36	42	51	61	57	54	23	39	54	68	44	66	58	11	45	60	78	67	68	18	15	43	66	69	75	85	62	29	38	84	56	77	68	74	42	51	81	100	59	61	86	67	41	79	92	78	92	71	31	41	77	81	138	139	115	76	48	97	110	182	99	98	57	78	121	130	118	183	166	57	66	118	115	64	113	112	80	50	95	128	87	153	128	89	63	113	132	139	164	82	71	37	101	99	57	38	8	13	44	134	150	182	174	180	121	5	6	22	4	16	44	40	74	150	165	179	150	121	60	69	83	112	112	102	100	54	54	85	91	104	96	65	58	52	86	91	117	102	57	19	17	0	0	0	0	0	0	0	0	0	0	0	0	0	19	51	47	65	44	51	12	36	50	33	40	22	26	15	19	44	38	31	36	26	11	30	43	39	46	37	33	17	0	0	0	0	0	0	0
ADENO	Brazil	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	27	31	45	50	81	42	43	55	49	47	74	59	38	48	27	13	32	36	25	25	20	10	12	22	28	28	19	14	8	7	6	14	12	12	10	5	7	14	7	7	7	6	6	4	7	5	16	6	8	4	4	7	17	6	15	4	9	4	4	5	14	6	8	5	4	4	3	3	2	5	4	0	6	2	5	4	4	3	1	5	6	1	7	0	2	0	2	0	1	3	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	1	1	1	2	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	1	1	1	4	4	2	1	3	0	4	2	1	0	0	0	0	0	0	0
