pathogen	country	test_result	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04
FLUA	Brazil	1.0	2516	2445	1969	6751	16969	26497	22644	9078	8056	5565	3439	2648	1379	1726	1310	584	1053	401	166	328	446	578	615	697	792	809	899	759	746	659	597	557	398	380	324	340	351	429	439	505	484	667	691	853	668	730	764	353	985	137	899	632	553	524	17	2	289	222	203	245	0
VSR	Brazil	1.0	2516	2445	1968	6750	16967	26496	22644	9078	8056	5565	3439	2648	1379	1726	1310	584	1053	401	166	328	446	578	615	697	792	809	899	759	746	659	597	557	397	380	324	340	351	429	439	505	484	667	691	853	668	730	764	353	985	137	899	632	553	524	17	3	291	226	209	245	0
RINO	Brazil	1.0	0	0	0	35	347	342	161	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	13	0
PARA	Brazil	1.0	0	0	0	35	347	342	161	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	13	0
COVS	Brazil	1.0	0	0	0	35	347	342	161	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	13	0
BOCA	Brazil	1.0	0	0	0	35	347	342	161	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	13	0
META	Brazil	1.0	0	0	0	35	347	342	161	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	13	0
SC2	Brazil	1.0	15303	9088	12506	22009	67861	66733	60475	51755	41069	25618	21079	13540	8731	10076	9639	14494	15031	13663	12383	11117	15503	14835	16264	18616	24331	33459	42723	30077	27856	30312	31266	28419	19801	14826	13007	10399	11196	10322	9807	8240	9561	8728	7201	6118	5030	6685	6840	2444	6359	12171	16446	14979	13604	6348	143	302	3237	4468	4187	3975	79
FLUB	Brazil	1.0	2516	2445	1970	6752	16963	26493	22643	9076	8056	5565	3439	2648	1379	1726	1310	584	1053	401	166	328	446	578	615	697	792	809	899	759	746	659	597	557	397	380	324	340	351	429	439	505	484	667	691	853	668	730	764	353	985	137	899	632	553	524	17	0	289	222	205	245	0
ADENO	Brazil	1.0	0	0	0	35	347	342	161	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	13	0
BAC	Brazil	0.0	0	0	0	35	347	342	161	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	13	0
ENTERO	Brazil	1.0	0	0	0	35	347	342	161	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	13	0
