pathogen	region	country	test_result	2021-12-05	2021-12-06	2021-12-07	2021-12-08	2021-12-09	2021-12-10	2021-12-11	2021-12-12	2021-12-13	2021-12-14	2021-12-15	2021-12-16	2021-12-17	2021-12-18	2021-12-19	2021-12-20	2021-12-21	2021-12-22	2021-12-23	2021-12-24	2021-12-25	2021-12-26	2021-12-27	2021-12-28	2021-12-29	2021-12-30	2021-12-31	2022-01-01	2022-01-02	2022-01-03	2022-01-04	2022-01-05	2022-01-06	2022-01-07	2022-01-08	2022-01-09	2022-01-10	2022-01-11	2022-01-12	2022-01-13	2022-01-14	2022-01-15	2022-01-16	2022-01-17	2022-01-18	2022-01-19	2022-01-20	2022-01-21	2022-01-22	2022-01-23	2022-01-24	2022-01-25	2022-01-26	2022-01-27	2022-01-28	2022-01-29	2022-01-30	2022-01-31	2022-02-01	2022-02-02	2022-02-03	2022-02-04	2022-02-05	2022-02-06	2022-02-07	2022-02-08	2022-02-09	2022-02-10	2022-02-11	2022-02-12	2022-02-13	2022-02-14	2022-02-15	2022-02-16	2022-02-17	2022-02-18	2022-02-19	2022-02-20	2022-02-21	2022-02-22	2022-02-23	2022-02-24	2022-02-25	2022-02-26	2022-02-27	2022-02-28	2022-03-01	2022-03-02	2022-03-03	2022-03-04	2022-03-05	2022-03-06	2022-03-07	2022-03-08	2022-03-09	2022-03-10	2022-03-11	2022-03-12	2022-03-13	2022-03-14	2022-03-15	2022-03-16	2022-03-17	2022-03-18	2022-03-19	2022-03-20	2022-03-21	2022-03-22	2022-03-23	2022-03-24	2022-03-25	2022-03-26	2022-03-27	2022-03-28	2022-03-29	2022-03-30	2022-03-31	2022-04-01	2022-04-02	2022-04-03	2022-04-04	2022-04-05	2022-04-06	2022-04-07	2022-04-08	2022-04-09	2022-04-10	2022-04-11	2022-04-12	2022-04-13	2022-04-14	2022-04-15	2022-04-16	2022-04-17	2022-04-18	2022-04-19	2022-04-20	2022-04-21	2022-04-22	2022-04-23	2022-04-24	2022-04-25	2022-04-26	2022-04-27	2022-04-28	2022-04-29	2022-04-30	2022-05-01	2022-05-02	2022-05-03	2022-05-04	2022-05-05	2022-05-06	2022-05-07	2022-05-08	2022-05-09	2022-05-10	2022-05-11	2022-05-12	2022-05-13	2022-05-14	2022-05-15	2022-05-16	2022-05-17	2022-05-18	2022-05-19	2022-05-20	2022-05-21	2022-05-22	2022-05-23	2022-05-24	2022-05-25	2022-05-26	2022-05-27	2022-05-28	2022-05-29	2022-05-30	2022-05-31	2022-06-01	2022-06-02	2022-06-03	2022-06-04	2022-06-05	2022-06-06	2022-06-07	2022-06-08	2022-06-09	2022-06-10	2022-06-11	2022-06-12	2022-06-13	2022-06-14	2022-06-15	2022-06-16	2022-06-17	2022-06-18	2022-06-19	2022-06-20	2022-06-21	2022-06-22	2022-06-23	2022-06-24	2022-06-25	2022-06-26	2022-06-27	2022-06-28	2022-06-29	2022-06-30	2022-07-01	2022-07-02	2022-07-03	2022-07-04	2022-07-05	2022-07-06	2022-07-07	2022-07-08	2022-07-09	2022-07-10	2022-07-11	2022-07-12	2022-07-13	2022-07-14	2022-07-15	2022-07-16	2022-07-17	2022-07-18	2022-07-19	2022-07-20	2022-07-21	2022-07-22	2022-07-23	2022-07-24	2022-07-25	2022-07-26	2022-07-27	2022-07-28	2022-07-29	2022-07-30	2022-07-31	2022-08-01	2022-08-02	2022-08-03	2022-08-04	2022-08-05	2022-08-06	2022-08-07	2022-08-08	2022-08-09	2022-08-10	2022-08-11	2022-08-12	2022-08-13	2022-08-14	2022-08-15	2022-08-16	2022-08-17	2022-08-18	2022-08-19	2022-08-20	2022-08-21	2022-08-22	2022-08-23	2022-08-24	2022-08-25	2022-08-26	2022-08-27	2022-08-28	2022-08-29	2022-08-30	2022-08-31	2022-09-01	2022-09-02	2022-09-03	2022-09-04	2022-09-05	2022-09-06	2022-09-07	2022-09-08	2022-09-09	2022-09-10	2022-09-11	2022-09-12	2022-09-13	2022-09-14	2022-09-15	2022-09-16	2022-09-17	2022-09-18	2022-09-19	2022-09-20	2022-09-21	2022-09-22	2022-09-23	2022-09-24	2022-09-25	2022-09-26	2022-09-27	2022-09-28	2022-09-29	2022-09-30	2022-10-01	2022-10-02	2022-10-03	2022-10-04	2022-10-05	2022-10-06	2022-10-07	2022-10-08	2022-10-09	2022-10-10	2022-10-11	2022-10-12	2022-10-13	2022-10-14	2022-10-15	2022-10-16	2022-10-17	2022-10-18	2022-10-19	2022-10-20	2022-10-21	2022-10-22	2022-10-23	2022-10-24	2022-10-25	2022-10-26	2022-10-27	2022-10-28	2022-10-29	2022-10-30	2022-10-31	2022-11-01	2022-11-02	2022-11-03	2022-11-04	2022-11-05	2022-11-06	2022-11-07	2022-11-08	2022-11-09	2022-11-10	2022-11-11	2022-11-12	2022-11-13	2022-11-14	2022-11-15	2022-11-16	2022-11-17	2022-11-18	2022-11-19	2022-11-20	2022-11-21	2022-11-22	2022-11-23	2022-11-24	2022-11-25	2022-11-26	2022-11-27	2022-11-28	2022-11-29	2022-11-30	2022-12-01	2022-12-02	2022-12-03	2022-12-04	2022-12-05	2022-12-06	2022-12-07	2022-12-08	2022-12-09	2022-12-10	2022-12-11	2022-12-12	2022-12-13	2022-12-14	2022-12-15	2022-12-16	2022-12-17	2022-12-18	2022-12-19	2022-12-20	2022-12-21	2022-12-22	2022-12-23	2022-12-24	2022-12-25	2022-12-26	2022-12-27	2022-12-28	2022-12-29	2022-12-30	2022-12-31	2023-01-01	2023-01-02	2023-01-03	2023-01-04	2023-01-05	2023-01-06	2023-01-07	2023-01-08	2023-01-09	2023-01-10	2023-01-11	2023-01-12	2023-01-13	2023-01-14	2023-01-15	2023-01-16	2023-01-17	2023-01-18	2023-01-19	2023-01-20	2023-01-21	2023-01-22	2023-01-23	2023-01-24	2023-01-25	2023-01-26	2023-01-27	2023-01-28	2023-01-29	2023-01-30	2023-01-31	2023-02-01	2023-02-02	2023-02-03	2023-02-04
RINO	Norte	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Nordeste	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Sul	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Sudeste	Brazil	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Centro-Oeste	Brazil	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	27	31	45	50	81	42	43	55	49	47	74	59	38	48	27	13	32	33	25	25	20	10	12	22	28	28	19	14	8	7	6	14	12	12	10	5	7	14	7	7	7	6	6	4	7	5	16	6	8	4	4	7	17	6	15	4	9	4	4	5	14	6	8	5	4	4	3	3	2	5	4	0	6	2	5	4	4	3	1	5	6	1	7	0	2	0	2	0	1	3	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	1	1	1	2	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	1	1	1	4	4	2	1	3	0	4	2	0	0	0	0	0	0	0	0
FLUB	Norte	Brazil	1.0	5	0	0	8	5	10	6	3	0	0	9	6	10	17	15	0	0	14	3	3	19	5	0	8	15	19	1	37	7	0	0	9	28	19	34	7	44	2	7	38	12	13	23	4	0	130	212	217	42	23	0	0	18	64	0	81	6	0	1	22	75	41	22	31	0	15	22	31	77	4	11	0	2	12	5	8	2	5	0	0	8	4	9	2	2	0	0	4	2	0	2	3	0	0	3	3	2	1	3	0	0	1	0	7	2	6	0	1	0	0	0	0	4	0	0	2	8	7	7	2	0	0	2	0	0	3	0	0	1	0	2	2	1	0	0	2	0	1	1	0	1	1	9	0	4	0	2	1	2	7	0	3	0	2	1	0	1	3	1	0	0	2	0	0	2	0	1	2	5	0	1	2	1	0	4	1	0	1	0	2	1	0	1	0	0	3	1	2	2	0	0	0	1	5	0	0	0	0	1	0	0	2	2	0	0	0	4	3	0	3	0	0	3	4	0	1	0	1	0	2	0	0	3	0	2	0	0	0	2	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	1	0	0	2	0	0	1	1	0	1	0	0	0	0	1	2	0	0	0	0	1	0	0	1	1	0	0	0	3	0	0	1	0	0	2	1	0	0	2	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	3	0	1	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	1	3	0	0	0	1	1	0	0	0	0	0	1	2	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLUB	Nordeste	Brazil	1.0	5	0	0	23	15	15	2	14	0	0	3	6	5	8	4	0	0	18	7	17	9	1	0	20	90	76	21	138	27	1	4	131	410	271	235	103	279	156	216	117	36	14	24	7	0	20	18	25	42	1	28	0	13	48	28	22	12	0	2	69	93	65	37	29	0	1	27	35	27	33	39	0	2	17	17	13	4	5	0	1	3	39	5	4	12	2	0	0	3	3	4	1	0	2	13	19	1	3	0	0	4	11	7	0	5	6	1	1	1	1	1	1	3	1	0	3	6	3	5	4	0	1	2	1	2	1	2	0	0	1	1	3	0	0	3	0	1	0	4	0	3	0	0	2	1	3	2	4	2	1	2	3	3	3	1	2	2	9	4	5	0	2	0	0	6	2	9	0	2	1	1	6	5	2	5	1	1	5	2	5	4	1	3	1	1	11	3	1	5	1	0	6	11	15	3	3	0	0	15	2	0	6	1	0	0	1	12	1	6	5	0	3	3	3	2	1	0	3	1	3	1	1	2	0	2	0	2	3	3	3	1	1	1	0	2	2	1	3	5	0	1	4	1	0	0	0	0	0	2	2	1	0	1	1	2	0	1	0	1	1	1	2	0	1	1	0	0	1	0	0	4	0	1	4	0	0	1	0	0	3	0	0	0	3	1	2	1	0	0	1	0	9	0	1	0	1	0	1	1	0	1	0	1	0	3	2	0	0	0	2	1	2	0	3	2	1	0	0	0	4	2	2	0	0	1	1	2	3	0	0	4	0	3	0	1	0	0	0	3	4	3	4	1	0	1	0	0	1	1	5	2	3	0	5	3	2	2	0	1	4	3	2	2	2	2	0	2	1	1	1	0	1	0	0	2	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLUB	Sul	Brazil	1.0	0	0	0	3	0	0	2	0	0	0	5	1	0	0	0	0	1	7	34	19	6	1	0	42	46	19	30	17	0	0	2	81	111	184	306	128	279	52	167	59	3	8	4	0	1	4	3	0	15	0	1	1	1	5	4	1	3	0	2	25	6	3	18	33	0	13	13	28	21	5	6	0	2	19	4	12	1	3	0	4	0	8	28	7	0	4	5	7	10	11	5	4	16	11	5	11	1	5	4	1	7	7	5	7	2	0	4	4	1	3	6	0	1	1	2	2	6	1	4	0	2	2	3	3	2	3	0	1	0	3	4	4	3	0	5	5	3	8	8	0	1	7	1	12	17	7	7	1	10	15	12	19	11	11	2	5	10	32	14	19	5	7	11	21	23	23	13	8	9	12	21	17	34	16	14	8	10	12	16	17	21	1	10	17	18	29	23	25	7	2	19	39	31	39	6	4	8	21	19	31	21	27	23	6	29	38	29	25	40	9	10	11	28	28	34	15	13	15	15	40	14	18	26	6	8	7	24	8	15	4	10	3	10	14	11	20	14	3	1	2	6	13	3	13	8	0	5	14	3	18	12	1	4	6	11	14	12	0	2	4	4	7	8	8	15	4	2	24	5	8	3	12	1	6	6	17	3	10	9	9	0	2	9	6	4	4	7	0	6	3	8	13	5	6	2	3	11	14	4	1	3	0	3	9	6	12	4	3	0	7	8	3	4	8	4	0	2	10	6	22	5	8	4	16	10	16	19	1	10	0	3	2	4	14	0	2	0	12	7	21	14	35	18	1	1	2	0	2	7	15	11	23	16	29	24	29	4	7	14	14	18	16	17	12	7	19	16	15	15	10	11	0	7	10	17	13	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	12	4	8	0	5	2	1	4	1	0	0	0	5	3	4	2	1	0	0	4	4	3	5	3	0	0	0	0	0	0	0	0
FLUB	Sudeste	Brazil	1.0	152	0	266	478	306	528	338	91	51	419	482	343	266	404	88	45	291	286	225	380	130	14	81	766	860	1014	1171	573	33	9	1832	2391	1658	3062	3543	2682	2456	3047	2688	3969	2953	2725	2497	1185	1699	3480	2883	2403	2900	1867	187	1153	783	858	586	856	562	2	1248	788	1038	889	779	164	0	698	918	736	767	540	180	0	646	614	304	295	334	62	0	523	305	406	315	277	90	97	164	71	131	146	160	113	69	198	256	190	97	84	114	23	123	102	200	114	94	58	36	101	31	40	38	21	60	43	159	157	56	50	191	69	27	160	12	7	5	8	20	29	14	4	2	7	4	27	35	41	38	31	5	0	7	14	6	51	51	43	43	38	53	49	51	57	53	32	27	55	58	67	67	63	24	42	57	75	74	75	54	17	32	63	85	76	69	73	33	44	59	100	89	100	87	34	44	80	73	96	100	76	22	47	71	65	77	56	55	34	37	58	85	98	67	52	17	49	58	76	52	53	26	29	39	59	69	54	64	46	6	34	54	53	61	47	52	21	35	37	43	44	29	30	16	26	36	41	36	26	37	14	24	27	31	36	44	34	13	33	37	41	32	30	34	8	31	47	51	39	39	15	7	27	42	46	51	41	41	21	32	46	45	42	46	48	33	32	53	50	41	40	55	49	29	52	70	55	66	47	11	34	61	66	80	65	90	51	37	79	84	122	71	78	36	46	96	113	88	135	130	46	41	83	91	48	87	84	64	38	84	108	67	109	97	67	52	81	112	108	122	70	52	31	80	80	37	16	4	7	37	97	123	137	141	117	90	2	1	16	0	3	19	16	46	94	119	107	96	71	48	53	46	66	71	59	69	27	38	46	55	68	55	34	32	33	61	59	63	59	42	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	9	31	33	32	29	33	9	19	35	24	20	14	17	14	10	22	25	15	22	16	7	26	22	25	27	26	19	16	0	0	0	0	0	0	0
FLUB	Centro-Oeste	Brazil	1.0	35	0	16	134	33	89	42	87	0	7	84	48	48	28	35	1	12	97	93	56	55	0	0	235	502	377	237	336	31	45	278	583	408	571	659	376	662	553	1015	498	621	508	577	524	194	842	948	905	815	883	150	83	452	315	168	396	509	6	357	296	446	418	216	312	16	154	349	131	217	118	199	7	123	271	102	111	77	94	7	74	93	130	139	85	84	31	51	57	82	83	55	86	66	96	241	44	37	44	74	25	85	36	93	77	74	41	29	39	22	34	38	14	45	26	56	30	31	30	51	12	20	11	17	11	2	7	10	21	14	0	1	8	4	15	28	30	14	13	5	2	8	27	8	32	28	27	18	8	24	31	29	24	15	1	12	21	30	34	9	20	10	16	38	34	29	30	14	8	13	34	43	40	32	30	8	10	34	43	35	43	17	2	16	37	56	60	37	28	10	18	25	47	36	11	19	9	13	30	45	23	18	18	6	12	16	22	18	21	10	5	23	10	19	19	14	10	6	9	26	16	10	16	5	1	6	15	16	18	7	4	2	9	9	7	15	25	9	2	5	13	13	8	9	6	2	6	12	12	7	12	10	2	9	6	14	14	15	3	5	9	19	14	15	34	5	3	4	13	6	27	14	12	7	9	22	33	13	11	22	5	11	25	13	14	18	18	12	6	10	11	48	51	20	18	7	14	15	44	23	19	16	32	20	8	21	33	32	7	25	25	15	10	21	15	9	10	9	10	14	16	23	12	7	16	8	13	20	7	5	5	11	16	12	7	3	2	4	22	15	19	15	18	9	2	3	4	4	10	15	3	11	23	27	34	24	18	6	8	18	27	18	24	8	13	7	20	14	20	24	16	12	15	17	20	31	27	10	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	7	14	8	7	2	6	10	8	13	5	8	1	9	14	9	8	12	9	4	4	14	10	16	6	11	0	0	0	0	0	0	0	0
