pathogen	region	country	test_result	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04
RINO	Norte	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Nordeste	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Sul	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Sudeste	Brazil	1.0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Centro-Oeste	Brazil	1.0	0	0	0	35	347	342	158	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	12	0
FLUB	Norte	Brazil	1.0	34	45	54	85	97	123	628	186	167	180	40	28	10	12	13	7	28	7	6	4	17	15	6	7	13	5	9	6	5	10	8	6	5	3	1	6	1	5	3	2	4	4	3	3	1	3	5	2	3	3	5	3	3	2	0	0	3	1	0	0	0
FLUB	Nordeste	Brazil	1.0	60	36	55	346	1079	921	136	140	278	152	92	57	24	39	27	12	21	11	7	8	11	18	23	19	22	19	25	39	24	25	12	11	14	10	11	5	6	6	6	8	7	11	4	6	10	9	7	8	15	8	17	14	7	8	0	0	7	3	1	0	0
FLUB	Sul	Brazil	1.0	5	6	67	155	684	696	27	13	57	113	44	50	42	53	33	18	17	15	15	29	52	79	87	106	123	85	129	140	150	176	139	134	76	75	46	53	49	50	55	60	32	41	38	37	34	53	76	25	107	28	136	98	93	52	3	0	33	13	15	19	0
FLUB	Sudeste	Brazil	1.0	2068	2056	1445	4479	12528	20520	17047	6290	5306	3823	2373	1888	859	1007	770	325	716	288	80	177	215	333	361	394	431	513	491	405	414	343	337	322	234	216	209	215	229	269	292	320	330	447	507	654	498	570	597	255	742	57	581	391	328	330	6	0	176	143	117	161	0
FLUB	Centro-Oeste	Brazil	1.0	349	302	349	1687	2575	4233	4805	2447	2248	1297	890	622	443	614	464	217	269	80	58	107	148	132	136	169	200	184	244	165	153	104	101	83	68	76	56	61	66	99	83	115	111	164	138	153	120	94	76	56	102	41	143	116	113	123	8	0	61	51	65	61	0
PARA	Norte	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARA	Nordeste	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARA	Sul	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARA	Sudeste	Brazil	1.0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
