region	pathogen	test_result	country	2021-12-05	2021-12-06	2021-12-07	2021-12-08	2021-12-09	2021-12-10	2021-12-11	2021-12-12	2021-12-13	2021-12-14	2021-12-15	2021-12-16	2021-12-17	2021-12-18	2021-12-19	2021-12-20	2021-12-21	2021-12-22	2021-12-23	2021-12-24	2021-12-25	2021-12-26	2021-12-27	2021-12-28	2021-12-29	2021-12-30	2021-12-31	2022-01-01	2022-01-02	2022-01-03	2022-01-04	2022-01-05	2022-01-06	2022-01-07	2022-01-08	2022-01-09	2022-01-10	2022-01-11	2022-01-12	2022-01-13	2022-01-14	2022-01-15	2022-01-16	2022-01-17	2022-01-18	2022-01-19	2022-01-20	2022-01-21	2022-01-22	2022-01-23	2022-01-24	2022-01-25	2022-01-26	2022-01-27	2022-01-28	2022-01-29	2022-01-30	2022-01-31	2022-02-01	2022-02-02	2022-02-03	2022-02-04	2022-02-05	2022-02-06	2022-02-07	2022-02-08	2022-02-09	2022-02-10	2022-02-11	2022-02-12	2022-02-13	2022-02-14	2022-02-15	2022-02-16	2022-02-17	2022-02-18	2022-02-19	2022-02-20	2022-02-21	2022-02-22	2022-02-23	2022-02-24	2022-02-25	2022-02-26	2022-02-27	2022-02-28	2022-03-01	2022-03-02	2022-03-03	2022-03-04	2022-03-05	2022-03-06	2022-03-07	2022-03-08	2022-03-09	2022-03-10	2022-03-11	2022-03-12	2022-03-13	2022-03-14	2022-03-15	2022-03-16	2022-03-17	2022-03-18	2022-03-19	2022-03-20	2022-03-21	2022-03-22	2022-03-23	2022-03-24	2022-03-25	2022-03-26	2022-03-27	2022-03-28	2022-03-29	2022-03-30	2022-03-31	2022-04-01	2022-04-02	2022-04-03	2022-04-04	2022-04-05	2022-04-06	2022-04-07	2022-04-08	2022-04-09	2022-04-10	2022-04-11	2022-04-12	2022-04-13	2022-04-14	2022-04-15	2022-04-16	2022-04-17	2022-04-18	2022-04-19	2022-04-20	2022-04-21	2022-04-22	2022-04-23	2022-04-24	2022-04-25	2022-04-26	2022-04-27	2022-04-28	2022-04-29	2022-04-30	2022-05-01	2022-05-02	2022-05-03	2022-05-04	2022-05-05	2022-05-06	2022-05-07	2022-05-08	2022-05-09	2022-05-10	2022-05-11	2022-05-12	2022-05-13	2022-05-14	2022-05-15	2022-05-16	2022-05-17	2022-05-18	2022-05-19	2022-05-20	2022-05-21	2022-05-22	2022-05-23	2022-05-24	2022-05-25	2022-05-26	2022-05-27	2022-05-28	2022-05-29	2022-05-30	2022-05-31	2022-06-01	2022-06-02	2022-06-03	2022-06-04	2022-06-05	2022-06-06	2022-06-07	2022-06-08	2022-06-09	2022-06-10	2022-06-11	2022-06-12	2022-06-13	2022-06-14	2022-06-15	2022-06-16	2022-06-17	2022-06-18	2022-06-19	2022-06-20	2022-06-21	2022-06-22	2022-06-23	2022-06-24	2022-06-25	2022-06-26	2022-06-27	2022-06-28	2022-06-29	2022-06-30	2022-07-01	2022-07-02	2022-07-03	2022-07-04	2022-07-05	2022-07-06	2022-07-07	2022-07-08	2022-07-09	2022-07-10	2022-07-11	2022-07-12	2022-07-13	2022-07-14	2022-07-15	2022-07-16	2022-07-17	2022-07-18	2022-07-19	2022-07-20	2022-07-21	2022-07-22	2022-07-23	2022-07-24	2022-07-25	2022-07-26	2022-07-27	2022-07-28	2022-07-29	2022-07-30	2022-07-31	2022-08-01	2022-08-02	2022-08-03	2022-08-04	2022-08-05	2022-08-06	2022-08-07	2022-08-08	2022-08-09	2022-08-10	2022-08-11	2022-08-12	2022-08-13	2022-08-14	2022-08-15	2022-08-16	2022-08-17	2022-08-18	2022-08-19	2022-08-20	2022-08-21	2022-08-22	2022-08-23	2022-08-24	2022-08-25	2022-08-26	2022-08-27	2022-08-28	2022-08-29	2022-08-30	2022-08-31	2022-09-01	2022-09-02	2022-09-03	2022-09-04	2022-09-05	2022-09-06	2022-09-07	2022-09-08	2022-09-09	2022-09-10	2022-09-11	2022-09-12	2022-09-13	2022-09-14	2022-09-15	2022-09-16	2022-09-17	2022-09-18	2022-09-19	2022-09-20	2022-09-21	2022-09-22	2022-09-23	2022-09-24	2022-09-25	2022-09-26	2022-09-27	2022-09-28	2022-09-29	2022-09-30	2022-10-01	2022-10-02	2022-10-03	2022-10-04	2022-10-05	2022-10-06	2022-10-07	2022-10-08	2022-10-09	2022-10-10	2022-10-11	2022-10-12	2022-10-13	2022-10-14	2022-10-15	2022-10-16	2022-10-17	2022-10-18	2022-10-19	2022-10-20	2022-10-21	2022-10-22	2022-10-23	2022-10-24	2022-10-25	2022-10-26	2022-10-27	2022-10-28	2022-10-29	2022-10-30	2022-10-31	2022-11-01	2022-11-02	2022-11-03	2022-11-04	2022-11-05	2022-11-06	2022-11-07	2022-11-08	2022-11-09	2022-11-10	2022-11-11	2022-11-12	2022-11-13	2022-11-14	2022-11-15	2022-11-16	2022-11-17	2022-11-18	2022-11-19	2022-11-20	2022-11-21	2022-11-22	2022-11-23	2022-11-24	2022-11-25	2022-11-26	2022-11-27	2022-11-28	2022-11-29	2022-11-30	2022-12-01	2022-12-02	2022-12-03	2022-12-04	2022-12-05	2022-12-06	2022-12-07	2022-12-08	2022-12-09	2022-12-10	2022-12-11	2022-12-12	2022-12-13	2022-12-14	2022-12-15	2022-12-16	2022-12-17	2022-12-18	2022-12-19	2022-12-20	2022-12-21	2022-12-22	2022-12-23	2022-12-24	2022-12-25	2022-12-26	2022-12-27	2022-12-28	2022-12-29	2022-12-30	2022-12-31	2023-01-01	2023-01-02	2023-01-03	2023-01-04	2023-01-05	2023-01-06	2023-01-07	2023-01-08	2023-01-09	2023-01-10	2023-01-11	2023-01-12	2023-01-13	2023-01-14	2023-01-15	2023-01-16	2023-01-17	2023-01-18	2023-01-19	2023-01-20	2023-01-21	2023-01-22	2023-01-23	2023-01-24	2023-01-25	2023-01-26	2023-01-27	2023-01-28	2023-01-29	2023-01-30	2023-01-31	2023-02-01	2023-02-02	2023-02-03	2023-02-04
Sudeste	SC2	Positive	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	44	29	32	15	6	0	0	0	0	0	0	6	97	74	106	110	75	7	21	74	81	96	61	22	26	14	74	72	56	93	68	7	0	0	0	0	0	0	0
Norte	SC2	0	Brazil	14	1	0	10	15	12	11	19	0	6	10	15	7	26	14	1	3	27	21	9	14	4	2	16	25	78	31	42	7	174	123	167	185	190	124	19	212	209	222	363	289	134	18	237	150	185	232	166	106	29	106	135	144	206	125	126	9	152	113	109	124	122	68	20	94	114	95	128	123	26	12	90	63	95	92	47	59	6	74	61	54	83	68	39	8	20	7	38	94	21	32	9	40	39	29	59	68	21	4	33	28	24	29	49	33	9	42	37	43	28	50	15	7	25	27	42	45	45	42	4	48	38	77	27	29	32	10	38	18	10	15	13	26	3	19	17	15	7	25	9	3	23	35	29	15	17	15	5	18	26	27	27	11	15	5	25	23	25	15	18	16	8	20	15	21	11	14	18	5	24	24	21	18	23	27	2	20	24	22	37	27	15	9	64	54	32	36	37	17	0	24	24	22	12	37	18	8	38	52	99	78	61	47	17	46	40	74	85	60	35	21	48	44	81	194	82	17	12	69	42	47	50	38	30	6	56	50	75	47	53	33	7	28	26	24	41	18	38	4	20	26	13	15	22	7	0	14	24	22	40	27	6	1	13	25	19	14	13	12	6	18	11	17	9	17	5	0	17	7	36	15	12	7	3	5	10	10	15	5	8	16	13	13	5	20	10	4	7	15	7	12	8	8	5	10	6	14	7	8	6	2	1	1	0	4	7	0	4	3	5	7	4	12	13	8	1	14	20	14	7	19	7	1	11	17	21	11	16	38	1	12	0	2	4	1	2	0	0	1	5	11	12	2	4	9	1	15	16	29	12	8	20	15	23	19	16	7	7	11	16	19	38	15	13	2	16	47	32	13	14	10	10	3	1	2	4	4	2	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	3	6	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Norte	SC2	Não Detectado	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Norte	SC2	Positive	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	12	0	0	0	0	7	0	7	3	5	0	0	0	0	0	0	0
Nordeste	SC2	1	Brazil	0	0	3	3	5	5	0	3	0	2	3	3	1	1	0	0	0	6	4	3	1	1	0	2	7	11	14	12	16	155	221	267	253	278	227	95	337	301	384	350	324	231	85	278	219	267	268	338	218	44	313	240	577	803	366	206	118	442	342	158	203	295	82	40	99	66	64	75	73	47	29	39	49	37	40	31	20	3	23	15	25	19	19	9	4	7	6	4	8	4	4	2	9	4	2	2	5	3	0	3	2	2	3	0	1	0	2	1	5	5	0	0	0	3	1	1	0	8	0	0	3	4	2	1	0	0	2	2	2	2	0	0	0	1	3	0	1	2	2	1	0	3	0	3	7	5	1	2	4	3	5	8	5	1	0	6	16	13	8	5	2	1	10	6	5	6	10	4	0	7	11	15	12	12	13	2	19	11	16	24	16	8	1	40	42	32	17	40	23	6	40	36	34	29	39	17	8	42	51	42	35	13	23	5	128	360	346	304	277	230	95	80	258	237	140	199	146	18	52	138	134	92	50	82	28	22	87	56	64	39	65	10	26	34	46	38	38	24	15	16	29	16	34	15	24	1	5	8	6	4	1	2	1	4	14	8	15	19	3	3	11	10	2	5	10	1	3	3	3	3	6	6	5	4	0	3	1	1	1	0	5	2	1	3	3	0	2	0	2	2	1	1	0	1	1	2	2	0	1	1	0	1	0	0	1	1	2	1	1	0	4	2	0	2	3	3	1	0	1	4	4	3	3	0	7	9	6	8	12	7	2	17	10	1	32	34	25	32	103	123	131	227	281	37	119	218	139	466	380	423	53	161	433	297	305	171	195	27	124	176	121	186	90	74	16	29	48	64	27	31	26	26	3	19	19	22	10	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	7	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nordeste	SC2	Negative	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	3	0	0	0	0	0	0	0	0	92	39	133	8	45	150	2	95	12	66	53	57	70	59	1	78	56	33	42	64	39	0	0	0	0	0	0
Nordeste	SC2	0	Brazil	19	6	20	23	16	12	6	27	24	4	5	18	9	19	4	7	20	35	29	21	8	0	16	35	91	113	61	161	122	338	380	476	736	647	407	179	563	469	506	461	386	251	106	256	214	218	193	273	193	58	219	286	336	444	280	141	90	341	246	179	163	291	119	50	146	113	103	103	101	89	48	104	83	92	82	80	48	36	99	68	87	86	65	53	33	80	31	76	53	58	50	14	62	41	45	72	84	42	15	78	64	50	39	41	23	23	53	46	45	41	20	28	18	77	63	45	57	62	30	17	70	35	38	60	34	12	20	37	26	39	30	10	16	6	40	39	22	12	27	11	10	41	31	34	35	31	38	11	45	52	39	36	38	21	10	37	30	54	37	30	34	15	37	27	35	26	30	11	6	27	15	23	21	26	27	4	56	35	36	45	26	29	18	67	58	55	62	84	34	10	64	54	77	31	63	25	8	48	55	36	40	24	18	6	170	417	435	393	352	332	138	168	326	348	266	300	241	71	114	335	260	221	160	208	67	110	204	160	155	164	215	43	103	178	167	169	153	67	66	93	166	98	168	89	165	29	25	26	39	41	21	15	7	112	181	105	206	181	61	91	114	166	216	99	194	95	19	108	97	101	109	92	91	81	19	112	82	15	90	86	74	106	27	92	100	71	93	54	20	199	16	86	55	80	53	104	121	13	73	74	52	56	4	93	77	52	53	71	55	12	98	64	2	59	70	62	111	9	81	63	47	76	45	8	64	79	58	40	64	38	12	54	73	6	74	70	59	59	135	128	150	228	163	53	170	138	151	291	330	330	51	206	378	274	304	168	292	28	130	261	138	200	134	104	22	20	82	140	80	72	60	77	9	53	54	69	69	48	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	86	66	56	43	135	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nordeste	SC2	Não Detectado	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nordeste	SC2	Positive	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	7	2	2	2	0	2	2	0	1	0	2	0	0	0	1	4	2	0	0	0	0	0	0	0	0
Sul	SC2	1	Brazil	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	2	8	3	5	6	0	20	45	157	26	63	82	45	84	13	75	23	7	5	4	1	5	3	4	0	6	0	2	0	3	3	2	0	3	0	1	6	3	1	11	6	0	5	6	23	4	4	2	0	2	6	1	5	0	0	0	0	0	1	2	0	0	1	0	0	2	0	0	0	2	0	0	0	2	0	1	0	1	2	0	2	0	1	0	1	1	0	2	0	0	0	0	0	1	1	0	1	1	3	0	1	2	1	1	1	1	2	2	0	0	1	3	3	1	0	2	0	1	3	2	2	5	2	2	0	5	1	7	4	2	1	1	4	3	7	3	8	2	1	7	7	8	4	6	3	0	8	6	8	6	13	4	2	6	2	11	7	6	1	4	11	7	7	9	6	0	0	4	7	11	11	2	0	2	5	8	10	6	5	4	1	55	208	163	129	140	115	37	42	161	223	142	140	113	41	37	125	106	102	109	97	17	45	109	102	78	72	66	11	21	65	51	60	50	58	12	9	45	55	34	48	33	7	5	2	1	5	3	1	1	19	26	47	36	32	31	3	9	33	23	23	38	21	5	4	29	15	13	16	18	3	6	16	17	1	14	11	4	2	7	4	8	4	7	0	1	10	4	7	3	8	1	3	8	9	4	5	7	1	0	5	1	5	3	4	1	5	7	3	0	8	8	2	2	3	1	4	3	1	0	2	11	4	8	9	4	0	5	8	11	3	15	8	3	9	30	31	43	57	26	26	30	55	20	150	89	137	38	42	176	139	193	134	65	72	41	149	154	128	135	152	45	80	163	109	150	109	113	8	25	143	122	60	110	113	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	21	34	39	39	25	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
