state	pathogen	test_result	state_code	country	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04
Amapá	FLUA	0	AP	Brazil	1	5	8	10	14	6	0	0	9	9	1	2	0	1	0	0	1	0	0	0	1	3	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
São Paulo	FLUA	0	AP	Brazil	1221	1392	955	1973	6581	10690	10214	3497	2854	2744	1762	1339	560	690	596	258	513	228	67	149	179	262	278	281	331	391	377	318	331	281	271	261	190	163	170	193	189	226	226	244	221	275	325	428	334	400	436	191	544	42	442	309	280	282	5	0	143	115	90	129	0
São Paulo	FLUA	1	AP	Brazil	13	64	118	1354	2648	2466	871	167	60	40	22	18	6	5	1	1	1	1	0	0	0	0	1	0	5	1	2	1	2	3	3	1	3	3	1	1	8	7	14	20	57	134	136	171	104	92	64	22	27	4	11	11	3	2	0	0	0	3	2	2	0
Paraíba	FLUA	0	AP	Brazil	0	0	0	17	42	33	0	0	3	2	1	3	0	2	1	0	1	0	0	1	1	1	0	0	1	2	0	0	1	4	1	0	4	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	1	1	0	0	0
Paraíba	FLUA	1	AP	Brazil	0	0	1	34	56	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rio Grande do Norte	FLUA	0	AP	Brazil	0	1	1	0	1	17	0	0	1	2	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	4	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	2	1	0	0	0	0	0	0	0
Rio Grande do Norte	FLUA	1	AP	Brazil	0	0	1	1	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mato Grosso do Sul	FLUA	0	AP	Brazil	10	9	6	9	44	186	294	396	259	225	93	33	6	10	3	0	10	3	1	1	0	0	0	0	6	4	2	4	1	0	3	4	1	3	2	0	2	1	1	0	2	4	0	3	1	1	0	1	0	1	1	2	0	3	0	0	2	0	0	0	0
Mato Grosso do Sul	FLUA	1	AP	Brazil	0	0	0	11	30	59	45	21	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	3	0	2	0	0	0	2	0	1	0	1	1	0	1	0	0	1	0	0	0	0
Paraná	FLUA	0	AP	Brazil	1	0	28	18	132	211	26	12	45	99	34	47	41	49	26	18	11	11	10	17	35	63	71	76	77	57	85	79	93	93	79	65	42	57	28	33	30	40	51	49	21	29	29	19	26	34	39	17	71	10	100	70	66	43	2	0	28	10	14	19	0
